#FILE:                        13WaT18 5 K min N2 16.2.2007.dsu
#FORMAT:                      NETZSCH4                        
#IDENTITY:                    13 WaT18 5 K min N2             
#DECIMAL:                     POINT                           
#SEPARATOR:                   SEMICOLON                       
#MTYPE:                       TG                              
#INSTRUMENT:                  NETZSCH STA 449C                
#PROJECT:                     vtt                             
#DATE/TIME:                   16.2.2007 7:57:49               
#CORR. FILE:                  correction 5K min N2 800 C.bsu  
#LABORATORY:                  EO                              
#OPERATOR:                    TL                              
#REMARK:                                                      
#SAMPLE:                      13 WaT18                        
#SAMPLE MASS /mg:             11.322                          
#MATERIAL:                    Empty crucibles                 
#REFERENCE:                   al2o3                           
#REFERENCE MASS /mg:          40.312                          
#TYPE OF CRUCIBLE:            DSC/TG pan Al2O3                
#SAMPLE CRUCIBLE MASS /mg:    0.000                           
#REFERENCE CRUCIBLE MASS /mg: 0.000                           
#PROTECTIVE GAS:              N2                              
#PURGE GAS 1:                 air                             
#FLOW RATE 1 /(ml/min):       40                              
#PURGE GAS 2:                                                 
#FLOW RATE 2:                                                 
#DSC RANGE /æm:               5000                            
#TG RANGE /æm:                5000                            
#CORR. CODE:                  020                             
#EXO:                         +1                              
#RANGE:                       20.0/5.00(K/min)/800.0          
#SEGMENT:                     S1/2                            
Temp (c),Mass (%) 
460.04100, 19.18750
461.04100, 19.14764
462.04100, 19.11367
463.04100, 19.07763
464.04100, 19.04357
465.04100, 19.01437
466.04100, 18.97710
467.04100, 18.94618
468.04100, 18.90837
469.04100, 18.87534
470.04100, 18.84230
471.04100, 18.81680
472.04100, 18.78795
473.04100, 18.75368
474.04100, 18.72539
475.04100, 18.69304
476.04100, 18.66371
477.04100, 18.62392
478.04100, 18.60015
479.04100, 18.57022
480.04100, 18.53944
481.04100, 18.51236
482.04100, 18.47792
483.04100, 18.45495
484.04100, 18.42556
485.04100, 18.40244
486.04100, 18.37476
487.04100, 18.34010
488.04100, 18.31829
489.04100, 18.29414
490.04100, 18.26672
491.04100, 18.23785
492.04100, 18.21229
493.04100, 18.17530
494.04100, 18.14768
495.04100, 18.12272
496.04100, 18.10482
497.04100, 18.07043
498.04100, 18.04657
499.04100, 18.02015
500.04100, 18.00060
501.04100, 17.96654
502.04100, 17.94930
503.04100, 17.92006
504.04100, 17.89749
505.04100, 17.86832
506.04100, 17.84868
507.04100, 17.82420
508.04100, 17.80096
509.04100, 17.77353
510.04100, 17.74705
511.04100, 17.72827
512.04100, 17.70747
513.04100, 17.68153
514.04100, 17.65501
515.04100, 17.63256
516.04100, 17.60498
517.04100, 17.58152
518.04100, 17.56230
519.04100, 17.54000
520.04100, 17.51355
521.04100, 17.49718
522.04100, 17.47659
523.04100, 17.45148
524.04100, 17.42857
525.04100, 17.40705
526.04100, 17.38072
527.04100, 17.35975
528.04100, 17.34864
529.04100, 17.32842
530.04100, 17.30433
531.04100, 17.27808
532.04100, 17.25317
533.04100, 17.22974
534.04100, 17.20844
535.04100, 17.19048
536.04100, 17.17712
537.04100, 17.14639
538.04100, 17.12372
539.04100, 17.10621
540.04100, 17.08616
541.04100, 17.06673
542.04100, 17.04455
543.04100, 17.02890
544.04100, 17.01048
545.04100, 16.99002
546.04100, 16.97675
547.04100, 16.95121
548.04100, 16.93685
549.04100, 16.91621
550.04100, 16.89364
551.04100, 16.87567
552.04100, 16.85875
553.04100, 16.83681
554.04100, 16.81454
555.04100, 16.80009
556.04100, 16.78434
557.04100, 16.76178
558.04100, 16.74359
559.04100, 16.71859
560.04100, 16.70436
561.04100, 16.68359
562.04100, 16.66984
563.04100, 16.64927
564.04100, 16.63102
565.04100, 16.61961
566.04100, 16.60225
567.04100, 16.59120
568.04100, 16.57080
569.04100, 16.55609
570.04100, 16.53301
571.04100, 16.51873
572.04100, 16.50086
573.04100, 16.48306
574.04100, 16.46868
575.04100, 16.44548
576.04100, 16.43227
577.04100, 16.41565
578.04100, 16.40337
579.04100, 16.39000
580.04100, 16.36970
581.04100, 16.35745
582.04100, 16.33887
583.04100, 16.31154
584.04100, 16.31072
585.04100, 16.29652
586.04100, 16.27802
587.04100, 16.26920
588.04100, 16.24889
589.04100, 16.23652
590.04100, 16.21271
591.04100, 16.19510
592.04100, 16.18097
593.04100, 16.16780
594.04100, 16.15885
595.04100, 16.14480
596.04100, 16.13074
597.04100, 16.11497
598.04100, 16.10098
599.04100, 16.08759
600.04100, 16.06901
601.04100, 16.05693
602.04100, 16.04170
603.04100, 16.02862
604.04100, 16.02119
605.04100, 16.00193
606.04100, 15.99639
607.04100, 15.98356
608.04100, 15.96862
609.04100, 15.95931
610.04100, 15.93885
611.04100, 15.93154
612.04100, 15.91915
613.04100, 15.90653
614.04100, 15.89653
615.04100, 15.88264
616.04100, 15.87217
617.04100, 15.85831
618.04100, 15.85153
619.04100, 15.83728
620.04100, 15.82820
621.04100, 15.81726
622.04100, 15.80703
623.04100, 15.80163
624.04100, 15.78577
625.04100, 15.77274
626.04100, 15.76112
627.04100, 15.75685
628.04100, 15.74773
629.04100, 15.73935
630.04100, 15.72557
631.04100, 15.71845
632.04100, 15.69529
633.04100, 15.68913
634.04100, 15.67736
635.04100, 15.66731
636.04100, 15.65532
637.04100, 15.64409
638.04100, 15.63311
639.04100, 15.62570
640.04100, 15.61495
641.04100, 15.60609
642.04100, 15.60182
643.04100, 15.58976
644.04100, 15.58211
645.04100, 15.57620
646.04100, 15.56498
647.04100, 15.55020
648.04100, 15.54423
649.04100, 15.53831
650.04100, 15.53057
651.04100, 15.52077
652.04100, 15.50799
653.04100, 15.50091
654.04100, 15.49309
655.04100, 15.48679
656.04100, 15.47625
657.04100, 15.47452
658.04100, 15.46395
659.04100, 15.45576
660.04100, 15.44794
661.04100, 15.44435
662.04100, 15.43023
663.04100, 15.42832
664.04100, 15.42128
665.04100, 15.41332
666.04100, 15.40367
667.04100, 15.39480
668.04100, 15.38850
669.04100, 15.37882
670.04100, 15.37257
671.04100, 15.36286
672.04100, 15.35146
673.04100, 15.34246
674.04100, 15.34107
675.04100, 15.33262
676.04100, 15.32401
677.04100, 15.31905
678.04100, 15.31396
679.04100, 15.30798
680.04100, 15.29634
681.04100, 15.29124
682.04100, 15.28312
683.04100, 15.27265
684.04100, 15.26678
685.04100, 15.26023
686.04100, 15.25343
687.04100, 15.24553
688.04100, 15.23715
689.04100, 15.23070
690.04100, 15.22657
691.04100, 15.22056
692.04100, 15.21487
693.04100, 15.20622
694.04100, 15.19685
695.04100, 15.18984
696.04100, 15.18081
697.04100, 15.17836
698.04100, 15.16904
699.04100, 15.16204
700.04100, 15.15638
701.04100, 15.14812
702.04100, 15.14022
703.04100, 15.12946
704.04100, 15.12308
705.04100, 15.11793
706.04100, 15.10866
707.04100, 15.10344
708.04100, 15.09653
709.04100, 15.09279
710.04100, 15.08657
711.04100, 15.08127
712.04100, 15.07240
