s,C,C
Time,T_b45mmTC1,T_b13mmTC2
839,434.27,101.56
840,434.4,101.69
841,434.52,101.81
842,434.72,101.86
843,434.89,102.16
844,435.15,102.18
845,435.2,102.33
846,435.36,102.42
847,435.53,102.61
848,435.67,102.71
849,435.82,102.85
850,436.02,102.93
851,436.13,103.11
852,436.33,103.17
853,436.47,103.25
854,436.63,103.38
855,436.76,103.54
856,436.87,103.65
857,437.02,103.8
858,437.23,103.89
859,437.32,104.02
860,437.57,104.11
861,437.6,104.23
862,437.77,104.38
863,437.94,104.53
864,438.15,104.64
865,438.27,104.76
866,438.44,104.83
867,438.59,105
868,438.69,105.16
869,438.84,105.27
870,438.97,105.33
871,439.03,105.47
872,439.13,105.59
873,439.29,105.71
874,439.46,105.84
875,439.57,105.94
876,439.67,106.1
877,439.74,106.14
878,439.83,106.3
879,439.96,106.41
880,440.04,106.52
881,440.12,106.67
882,440.25,106.75
883,440.44,106.91
884,440.54,106.99
885,440.7,107.17
886,440.8,107.26
887,440.88,107.35
888,440.98,107.5
889,441.05,107.63
890,441.15,107.79
891,441.31,107.84
892,441.35,108
893,441.43,108.13
894,441.53,108.16
895,441.65,108.38
896,441.72,108.45
897,441.81,108.58
