Time,Mass,Temp1,HRR,Thickness,Temp2
 1.0084064E+002, 1.2387974E+001, 3.6353801E+002, 1.2831596E+001, 4.9736996E-002, 3.3057545E+002
 1.0200489E+002, 1.2384832E+001, 3.6464022E+002, 1.3780921E+001, 4.9734318E-002, 3.3225562E+002
 1.0320392E+002, 1.2381719E+001, 3.6695370E+002, 1.4781605E+001, 4.9731690E-002, 3.3389470E+002
 1.0443351E+002, 1.2378487E+001, 3.6785109E+002, 1.5727447E+001, 4.9728991E-002, 3.3548594E+002
 1.0560774E+002, 1.2375247E+001, 3.7000952E+002, 1.6820363E+001, 4.9726314E-002, 3.3711186E+002
 1.0683359E+002, 1.2371961E+001, 3.7101598E+002, 1.7906199E+001, 4.9723632E-002, 3.3858971E+002
 1.0804879E+002, 1.2368590E+001, 3.7193441E+002, 1.9124447E+001, 4.9720911E-002, 3.4000987E+002
 1.0922336E+002, 1.2365248E+001, 3.7319355E+002, 2.0168584E+001, 4.9718244E-002, 3.4095783E+002
 1.1043895E+002, 1.2361862E+001, 3.7581006E+002, 2.1517151E+001, 4.9715574E-002, 3.4282625E+002
 1.1162611E+002, 1.2358409E+001, 3.7846847E+002, 2.2521730E+001, 4.9712881E-002, 3.4492930E+002
 1.1285760E+002, 1.2354885E+001, 3.7953702E+002, 2.3612519E+001, 4.9710163E-002, 3.4674076E+002
 1.1400070E+002, 1.2351395E+001, 3.7989047E+002, 2.5362072E+001, 4.9707505E-002, 3.4780407E+002
 1.1522827E+002, 1.2347846E+001, 3.7988300E+002, 2.6377111E+001, 4.9704834E-002, 3.4847987E+002
 1.1644030E+002, 1.2344146E+001, 3.8242024E+002, 2.7989627E+001, 4.9702085E-002, 3.4984038E+002
 1.1762710E+002, 1.2340444E+001, 3.8337536E+002, 2.9593562E+001, 4.9699375E-002, 3.5109406E+002
 1.1883508E+002, 1.2336667E+001, 3.8523736E+002, 3.1188252E+001, 4.9696652E-002, 3.5280065E+002
