Exported data,,,,,,,,,,,,,,,,,,,,,,,
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²)
,,492,24.90137085,0,0,-0.014038333,-0.49510945,0,0,55.23769083,22.3436162,-0.043132631,24.00403516,24.50875197,-0.001057127,-0.037283168,2.4912455,87.86222404,0,0,0.042978512,97.82810954,112.2717293
,,493,24.85873431,21.41370382,-94.55166471,0.032915583,1.160879711,0,0,55.26257088,22.34370496,-0.127002666,24.00204282,24.50518003,-0.003112223,-0.109763109,2.4912455,87.86222404,0,0,0.04290468,97.87105114,112.0944643
,,494,24.88205188,34.16837206,-60.15308572,0.020647917,0.728218829,0,0,55.28744127,22.41144722,-0.050545256,24.06979987,24.57274921,-0.001242036,-0.04380461,2.4912455,87.86222404,0,0,0.042944629,97.9139758,111.9178973
,,495,24.66888729,0,0,-0.02335275,-0.823613952,0,0,55.31221674,22.38258889,-0.074323383,24.03500372,24.5371153,-0.001823681,-0.064318312,2.4912455,87.86222404,0,0,0.042575702,97.95673596,111.741852
,,496,24.59683645,15.37191591,-58.67093237,0.045369667,1.60011521,0,0,55.3368496,22.39179982,-0.108445103,24.04204165,24.54588146,-0.002661881,-0.093880251,2.4912455,87.86222404,0,0,0.042450889,97.99924926,111.566229
,,497,24.65788683,17.45448861,-21.38072868,0.040055583,1.412696033,0,0,55.36147696,22.34067006,-0.03497286,23.98543582,24.4880619,-0.000856418,-0.030204471,2.4912455,87.86222404,0,0,0.042556915,98.04175316,111.3913017
,,498,24.53449811,0,-290.9835658,0.007502917,0.26461581,0,0,55.38607316,22.24039019,-0.089560608,23.87771016,24.37707258,-0.002183225,-0.076998852,2.4912455,87.86222404,0,0,0.042343888,98.08420356,111.2170144
,,499,24.47496446,0,-131.2150122,0.007721667,0.27233077,0,0,55.41057789,22.23384183,-0.041575614,23.86910589,24.37002101,-0.001013199,-0.035733885,2.4912455,87.86222404,0,0,0.042240845,98.12649593,111.0432423
,,500,24.41890939,19.87057873,-48.99682362,0.034844167,1.228897745,0,0,55.43502483,22.2692123,-0.069944028,23.90783444,24.40885286,-0.001707253,-0.060212086,2.4912455,87.86222404,0,0,0.042143568,98.16868813,110.8700497
,,501,24.4958101,25.76159984,-91.84586866,0.026960833,0.950865251,0,0,55.45948219,22.2794927,-0.101408485,23.91874513,24.41848087,-0.002476241,-0.087333045,2.4912455,87.86222404,0,0,0.042276657,98.21089825,110.6975692
,,502,24.44985565,20.66615116,-16.51498235,0.03354525,1.183087042,0,0,55.48395502,22.37303251,-0.022595648,24.01568322,24.51796051,-0.000553999,-0.019538662,2.4912455,87.86222404,0,0,0.042196514,98.25313483,110.5258068
,,503,24.51689277,14.34607011,-41.7966527,0.048455917,1.708962286,0,0,55.50843839,22.43385532,-0.082386766,24.08065411,24.58277242,-0.002025295,-0.071428903,2.4912455,87.86222404,0,0,0.042312213,98.2953892,110.3547483
,,504,24.31325959,0,0,-0.00328625,-0.115900755,0,0,55.53285347,22.3165161,-0.080129554,23.94850908,24.44932801,-0.001959114,-0.069094792,2.4912455,87.86222404,0,0,0.041960355,98.33752548,110.1842331
,,505,24.20853477,36.9922015,-50.81362779,0.0185555,0.654422656,0,0,55.55711437,22.2775006,-0.038629486,23.90575732,24.40809758,-0.000942872,-0.033253589,2.4912455,87.86222404,0,0,0.041779273,98.37939529,110.0140879
,,506,24.16418592,19.03202538,-76.20629094,0.035999917,1.26965919,0,0,55.58130073,22.2843229,-0.112376027,23.91238421,24.41285925,-0.00274342,-0.096756018,2.4912455,87.86222404,0,0,0.041702449,98.42113615,109.8444678
,,507,24.37111836,67.47570451,-147.977015,0.010241,0.361183607,0,0,55.60556838,22.40611394,-0.06174638,24.03971079,24.54285764,-0.001515433,-0.053446872,2.4912455,87.86222404,0,0,0.042059988,98.46301737,109.6756773
,,508,24.28061452,12.95467672,-27.69564115,0.053143167,1.874274059,0,0,55.62989424,22.30456836,-0.060250299,23.92956176,24.42866005,-0.001471834,-0.051909222,2.4912455,87.86222404,0,0,0.041903906,98.50499932,109.5076658
,,509,24.29630506,54.07641166,-185.0454198,0.012739333,0.449295808,0,0,55.6541827,22.28044647,-0.096619535,23.89895113,24.39832975,-0.002357355,-0.083140131,2.4912455,87.86222404,0,0,0.041931219,98.54691688,109.3402411
,,510,24.0588331,0,-122.5299932,0.006947833,0.245038913,0,0,55.67836027,22.32176349,-0.034830766,23.94124706,24.44155173,-0.000851318,-0.030024616,2.4912455,87.86222404,0,0,0.041519827,98.58864241,109.1732554
,,511,24.00004557,13.08707363,-39.81528482,0.051997667,1.833874115,0,0,55.70238971,22.376206,-0.084505751,23.99716859,24.49894692,-0.002070302,-0.07301622,2.4912455,87.86222404,0,0,0.04141773,98.63011118,109.0066335
,,512,23.95920182,0,0,-0.034124917,-1.203530954,0,0,55.72636934,22.30763682,-0.039367851,23.92205312,24.42122007,-0.000961411,-0.033907419,2.4912455,87.86222404,0,0,0.041347424,98.67149376,108.8405651
,,513,23.94912087,20.74432485,-36.8616957,0.032734417,1.154490254,0,0,55.7503235,22.32824859,-0.049364255,23.94403014,24.44372153,-0.001206646,-0.042556468,2.4912455,87.86222404,0,0,0.04132985,98.7128324,108.6750945
,,514,24.03150192,12.61317992,-45.04869388,0.054022,1.905269098,0,0,55.77431381,22.29597266,-0.099716652,23.90758783,24.40535746,-0.002433621,-0.085829884,2.4912455,87.86222404,0,0,0.041472663,98.75423366,108.5103382
,,515,24.02323722,0,0,-0.027239417,-0.960690438,0,0,55.79834118,22.29950602,-0.064249176,23.90582039,24.40657328,-0.001568102,-0.055304445,2.4912455,87.86222404,0,0,0.041458333,98.79569915,108.3462936
,,516,24.03064236,14.1639204,-31.61015567,0.048105667,1.696609532,0,0,55.82236812,22.31611844,-0.062270365,23.92122841,24.41976373,-0.001520628,-0.053630091,2.4912455,87.86222404,0,0,0.041471055,98.83716385,108.182884
,,517,23.99368168,0,0,-0.006417,-0.226317274,0,0,55.84638028,22.40118695,-0.077747207,24.00803912,24.50923597,-0.001905525,-0.067204791,2.4912455,87.86222404,0,0,0.041406566,98.87860266,108.0200779
,,518,23.8923297,0,0,-0.009557833,-0.337089417,0,0,55.87032329,22.45456031,-0.047042067,24.06479594,24.56801345,-0.00115573,-0.040760744,2.4912455,87.86222404,0,0,0.041230799,98.91992134,107.857767
,,519,23.84282013,10.64579956,-34.41016429,0.063502917,2.239645788,0,0,55.89419086,22.4358659,-0.089017746,24.04501504,24.5473054,-0.002185146,-0.07706658,2.4912455,87.86222404,0,0,0.041145199,98.96110934,107.6959361
,,520,23.83016926,0,0,-0.02531875,-0.892951612,0,0,55.91802736,22.38366541,-0.104621192,23.98786646,24.48835439,-0.002562001,-0.090357651,2.4912455,87.86222404,0,0,0.041123601,99.00224374,107.534668
,,521,23.98514114,19.26107049,-21.83882075,0.03530825,1.245265218,0,0,55.94193501,22.39921757,-0.031469527,24.00123532,24.50276863,-0.000771091,-0.027195124,2.4912455,87.86222404,0,0,0.041391792,99.04350144,107.3741555
,,522,23.77449574,14.34788828,-52.64167574,0.046982667,1.657003127,0,0,55.96581483,22.37479417,-0.10105414,23.9740515,24.47446779,-0.002473246,-0.087227421,2.4912455,87.86222404,0,0,0.041027275,99.08471097,107.2142047
,,523,23.67884441,0,-249.1196939,0.004067583,0.143457125,0,0,55.9895415,22.33101633,-0.041483685,23.92575359,24.4268347,-0.001013315,-0.035737995,2.4912455,87.86222404,0,0,0.040861944,99.12565558,107.0545727
,,524,23.73151462,11.09471493,-24.80934232,0.060649,2.138992735,0,0,56.01324668,22.34038046,-0.061574018,23.93559668,24.43663489,-0.001504662,-0.053067003,2.4912455,87.86222404,0,0,0.040953068,99.16656309,106.8955089
,,525,23.69900321,0,0,-0.033784583,-1.191527944,0,0,56.03696194,22.34075623,-0.071931004,23.93467092,24.43432594,-0.001757586,-0.061987219,2.4912455,87.86222404,0,0,0.040896785,99.20748801,106.7370704
,,526,23.84473359,26.98895546,-50.19946274,0.02505075,0.883499683,0,0,56.06073381,22.40660696,-0.05131875,24.00249181,24.50438089,-0.001257534,-0.044351209,2.4912455,87.86222404,0,0,0.041148681,99.24851074,106.5793418
,,527,23.89827788,10.61584078,-37.57350992,0.06383025,2.251190308,0,0,56.08460531,22.43836406,-0.097745233,24.03409657,24.53650639,-0.002398327,-0.084585121,2.4912455,87.86222404,0,0,0.041241189,99.28970568,106.422401
,,528,23.81309584,0,0,-0.03976825,-1.402562249,0,0,56.108461,22.43900162,-0.079388611,24.03141218,24.53364567,-0.001947692,-0.068691968,2.4912455,87.86222404,0,0,0.041093725,99.33087314,106.2660246
,,529,23.69073962,10.66761437,-26.1323868,0.062968833,2.220809527,0,0,56.13221292,22.42315191,-0.067134226,24.01005695,24.51098337,-0.001645526,-0.058035054,2.4912455,87.86222404,0,0,0.040882008,99.371861,106.1100433
,,530,23.75157477,19.21673704,-75.29644568,0.035045083,1.235983753,0,0,56.15593407,22.37780471,-0.107882628,23.95801567,24.45963977,-0.00263877,-0.093065184,2.4912455,87.86222404,0,0,0.040987579,99.4127958,105.9545926
,,531,23.65555128,0,0,-0.013714917,-0.483703064,0,0,56.17963764,22.2991614,-0.033898003,23.87236679,24.37128094,-0.000826138,-0.02913655,2.4912455,87.86222404,0,0,0.040821805,99.45370049,105.7996942
,,532,23.81038073,7.140960901,-18.2663377,0.094541833,3.334338483,0,0,56.2033706,22.37590945,-0.070621426,23.95376915,24.45338676,-0.001726933,-0.060906153,2.4912455,87.86222404,0,0,0.041089389,99.49465609,105.6454335
,,533,23.98241089,0,0,-0.024401833,-0.860613435,0,0,56.227267,22.47713392,-0.099576092,24.0606678,24.56311837,-0.002445899,-0.086262938,2.4912455,87.86222404,0,0,0.041386611,99.53589409,105.4920582
,,534,23.85727279,0,0,-0.0172805,-0.609455456,0,0,56.25118684,22.43088954,-0.032105164,24.00798994,24.50934325,-0.000786876,-0.027751868,2.4912455,87.86222404,0,0,0.041170247,99.57717252,105.3393012
,,535,23.82590438,9.230502275,-38.57674991,0.07318775,2.581214291,0,0,56.27502843,22.46038439,-0.115062472,24.03676041,24.53750108,-0.002823346,-0.099574858,2.4912455,87.86222404,0,0,0.041115775,99.61831553,105.186969
,,536,23.6118059,0,0,-0.032245,-1.137229315,0,0,56.29874728,22.42967895,-0.051550229,24.00237574,24.50313043,-0.001263142,-0.044548987,2.4912455,87.86222404,0,0,0.040745335,99.65924608,105.0349763
,,537,23.56059886,17.56525061,-21.54383799,0.03803175,1.341318685,0,0,56.32233349,22.37778348,-0.03351517,23.94722169,24.44713459,-0.00081935,-0.028897152,2.4912455,87.86222404,0,0,0.040656988,99.69994724,104.8833026
,,538,23.63862535,18.37302775,-88.91832908,0.036480083,1.286593896,0,0,56.3459331,22.40181952,-0.132563463,23.97129433,24.46939733,-0.003243748,-0.114401779,2.4912455,87.86222404,0,0,0.040791918,99.7406717,104.7322177
,,539,23.63917509,0,0,-0.027394083,-0.966145282,0,0,56.369572,22.43366152,-0.06123094,24.00314403,24.50271726,-0.001500324,-0.05291403,2.4912455,87.86222404,0,0,0.040792688,99.781464,104.5817662
,,540,23.62662614,11.58610156,-25.0110008,0.057820083,2.039221391,0,0,56.3932049,22.47193966,-0.05892126,24.04422741,24.5435714,-0.001446138,-0.051002968,2.4912455,87.86222404,0,0,0.040770749,99.82224572,104.4318609
,,541,23.5447677,26.10988205,-104.8907091,0.025568417,0.901756954,0,0,56.4167906,22.44432155,-0.109408972,24.01302468,24.51251755,-0.002681889,-0.094585926,2.4912455,87.86222404,0,0,0.040629209,99.8629457,104.2824225
,,542,23.46244027,0,0,-0.01600025,-0.564303097,0,0,56.4402942,22.41613187,-0.025559162,23.98096067,24.47925497,-0.000625669,-0.022066348,2.4912455,87.86222404,0,0,0.040486862,99.90350373,104.1333841
,,543,23.54800944,10.28142864,-33.68201152,0.064940417,2.290344102,0,0,56.46379943,22.38453855,-0.089489347,23.94532388,24.44228209,-0.002187324,-0.077143396,2.4912455,87.86222404,0,0,0.040635158,99.94406474,103.9848977
,,544,23.51404809,48.53353615,-176.1705796,0.01373725,0.484490724,0,0,56.48733045,22.36486355,-0.099112775,23.92408705,24.41763224,-0.002420099,-0.085353012,2.4912455,87.86222404,0,0,0.040576482,99.98467056,103.8370045
,,545,23.50034941,56.52004217,-59.98787766,0.01178925,0.415787896,0,0,56.51083765,22.36119536,-0.028970252,23.91668088,24.41166464,-0.000707212,-0.024942233,2.4912455,87.86222404,0,0,0.04055279,100.0252352,103.6896104
,,546,23.30118482,17.25671062,-58.06218027,0.0382855,1.35026804,0,0,56.53423842,22.25143088,-0.091504286,23.79940699,24.29328408,-0.00222294,-0.078399506,2.4912455,87.86222404,0,0,0.040208658,100.0656159,103.5425612
,,547,23.34860189,0,0,-0.028389667,-1.001257906,0,0,56.55756331,22.2761676,-0.027951661,23.82460313,24.3191554,-0.000679761,-0.02397407,2.4912455,87.86222404,0,0,0.040290597,100.1058656,103.395911
,,548,23.15249145,13.51086158,-38.29705699,0.048588,1.713620653,0,0,56.58081386,22.3240579,-0.076360844,23.87455816,24.36821419,-0.001860777,-0.065626628,2.4912455,87.86222404,0,0,0.039950881,100.1459863,103.2496603
,,549,23.26933046,25.39408732,-99.67828637,0.025981583,0.916328678,0,0,56.60402477,22.41108301,-0.105870307,23.96496244,24.46200232,-0.0025898,-0.091338072,2.4912455,87.86222404,0,0,0.040152634,100.186038,103.1038703
,,550,23.32858082,0,0,-0.029078,-1.025534316,0,0,56.62732373,22.44911686,-0.027183317,24.00436213,24.50338967,-0.000666083,-0.023491691,2.4912455,87.86222404,0,0,0.040254979,100.2262419,102.9587704
,,551,23.41026354,11.60465414,-28.63305324,0.057199,2.017316781,0,0,56.65069315,22.48631537,-0.066730851,24.04432871,24.54310079,-0.001637782,-0.057761939,2.4912455,87.86222404,0,0,0.040396157,100.2665674,102.8143251
,,552,23.33286177,57.52619127,-174.1602114,0.0115005,0.405604148,0,0,56.67406471,22.48511531,-0.081609414,24.04400047,24.54287326,-0.00200293,-0.070640104,2.4912455,87.86222404,0,0,0.040262191,100.3068966,102.6704071
,,553,23.31750545,51.87142592,-39.79464322,0.012745833,0.449525052,0,0,56.6973899,22.44796604,-0.02070239,24.00192397,24.50035389,-0.000507216,-0.017888689,2.4912455,87.86222404,0,0,0.040235816,100.3471456,102.5269257
,,554,23.24419475,10.22055845,-24.61444511,0.064484333,2.274258776,0,0,56.72067075,22.40917533,-0.064906023,23.95708517,24.45452689,-0.001587246,-0.055979618,2.4912455,87.86222404,0,0,0.040109139,100.3873181,102.3838822
,,555,23.28491577,0,-463.1966671,0.005091333,0.179563142,0,0,56.7439353,22.41659168,-0.096404513,23.9639348,24.46242973,-0.002358289,-0.083173049,2.4912455,87.86222404,0,0,0.04017958,100.4274624,102.2413249
,,556,23.27413103,48.52670867,-32.84462672,0.013599,0.479614869,0,0,56.76721482,22.4781962,-0.018209682,24.02960075,24.52838367,-0.000446654,-0.015752771,2.4912455,87.86222404,0,0,0.040160575,100.4676325,102.0993072
,,557,23.02574236,20.19639092,-75.63672027,0.032326167,1.140091933,0,0,56.79036476,22.42381862,-0.099937753,23.96912097,24.46568143,-0.002445045,-0.086232815,2.4912455,87.86222404,0,0,0.039730961,100.5075783,101.9575669
,,558,23.04616774,50.04603202,-128.4429962,0.013057,0.4604994,0,0,56.81340072,22.4416495,-0.068489187,23.98710044,24.48678801,-0.00167708,-0.059147923,2.4912455,87.86222404,0,0,0.039766216,100.5473269,101.8161303
,,559,22.91270814,19.43592733,-25.2639206,0.033426083,1.178884226,0,0,56.83638015,22.42632226,-0.034509327,23.97046369,24.47088945,-0.000844474,-0.029783237,2.4912455,87.86222404,0,0,0.039535317,100.5869776,101.6750987
,,560,22.93599603,0,0,-0.000412083,-0.014533517,0,0,56.85930451,22.43656076,-0.141484286,23.9812801,24.48034615,-0.003463584,-0.12215505,2.4912455,87.86222404,0,0,0.039575567,100.6265331,101.5344723
,,561,23.12092092,56.36125135,-116.6672423,0.011631583,0.410227246,0,0,56.88233296,22.48152655,-0.055328104,24.02711381,24.52686179,-0.001357025,-0.047860081,2.4912455,87.86222404,0,0,0.039895381,100.6662686,101.3945329
,,562,23.05989325,13.8920352,-41.15116922,0.047065833,1.659936282,0,0,56.90542337,22.43446817,-0.079135367,23.97453346,24.47469634,-0.001936814,-0.068308319,2.4912455,87.86222404,0,0,0.039790011,100.7061112,101.2552017
,,563,22.94445843,0,-501.3624358,0.006741833,0.237773624,0,0,56.92842555,22.37389885,-0.138486684,23.91132661,24.40741511,-0.003380102,-0.119210763,2.4912455,87.86222404,0,0,0.039590548,100.7458015,101.1162088
,,564,22.57434388,39.7888291,-41.30218007,0.01608675,0.567353813,0,0,56.95118495,22.27207359,-0.027348126,23.79966665,24.2948217,-0.000664418,-0.023432949,2.4912455,87.86222404,0,0,0.038950542,100.7850721,100.9772783
,,565,22.61876731,39.39288172,-184.1057317,0.016280417,0.574184125,0,0,56.9737815,22.3319286,-0.123053541,23.86071838,24.35783644,-0.002997318,-0.105710588,2.4912455,87.86222404,0,0,0.039027108,100.8240609,100.8385513
,,566,22.66150314,0,-654.6537155,0.00331725,0.116994075,0,0,56.99642164,22.40672119,-0.088878818,23.93542883,24.43383115,-0.00217165,-0.076590606,2.4912455,87.86222404,0,0,0.039100675,100.8631248,100.7003916
,,567,22.80264531,24.94110572,-11.06826597,0.025922917,0.914259599,0,0,57.01915371,22.47101577,-0.011711184,24.00041973,24.49980681,-0.000286922,-0.010119268,2.4912455,87.86222404,0,0,0.039344599,100.9023474,100.5628813
,,568,22.78546889,16.64139537,-64.36631638,0.038822417,1.369204228,0,0,57.04194777,22.434625,-0.102163818,23.96142511,24.45930473,-0.002498856,-0.088130633,2.4912455,87.86222404,0,0,0.039315065,100.9416773,100.4259644
,,569,22.71786464,22.22048849,-54.36330552,0.028988667,1.022383673,0,0,57.06469944,22.45267699,-0.064382988,23.97848061,24.47726942,-0.00157592,-0.055580156,2.4912455,87.86222404,0,0,0.039197973,100.9809338,100.2894542
,,570,22.62932492,66.79085127,-96.39528283,0.009606583,0.338808751,0,0,57.08737303,22.46837748,-0.037816091,23.99104934,24.48770588,-0.000926029,-0.032659565,2.4912455,87.86222404,0,0,0.039044668,101.0200551,100.153286
,,571,22.66843216,29.81183719,-114.9054371,0.021559917,0.760383603,0,0,57.11002191,22.44319492,-0.101289622,23.96047452,24.4580995,-0.002477352,-0.08737221,2.4912455,87.86222404,0,0,0.039112476,101.0591337,100.0175515
,,572,22.72218935,72.53738419,-169.6592984,0.008881833,0.313247984,0,0,57.13271722,22.4340391,-0.061647901,23.94688855,24.44342125,-0.001506886,-0.053145433,2.4912455,87.86222404,0,0,0.039205555,101.0982927,99.88237276
,,573,22.53305887,0,-202.6584029,0.0053475,0.188597729,0,0,57.15534485,22.44964615,-0.044310965,23.96202253,24.45705731,-0.001083716,-0.038220914,2.4912455,87.86222404,0,0,0.038878173,101.1373346,99.74754772
,,574,22.57722745,15.20882628,-41.32841862,0.042091,1.484481907,0,0,57.17789999,22.50008999,-0.070972594,24.01433569,24.51022798,-0.001739554,-0.06135129,2.4912455,87.86222404,0,0,0.038954348,101.1762508,99.61306618
,,575,22.53533174,32.84233555,-54.17584236,0.019455583,0.686167149,0,0,57.20045627,22.49069177,-0.04302571,24.00099361,24.49750661,-0.001054023,-0.037173683,2.4912455,87.86222404,0,0,0.038881896,101.2151689,99.47905438
,,576,22.49826112,47.81528685,-109.1786984,0.01334125,0.470524441,0,0,57.22297306,22.50709033,-0.059420085,24.01600805,24.51326542,-0.00145658,-0.051371246,2.4912455,87.86222404,0,0,0.038817662,101.2540187,99.34543935
,,577,22.43300039,23.97283708,-106.3016201,0.02653275,0.93576744,0,0,57.2454387,22.49494227,-0.115128421,24.00183541,24.49850593,-0.002820474,-0.099473595,2.4912455,87.86222404,0,0,0.038704793,101.2927799,99.21219878
,,578,22.45914357,0,0,-0.0012395,-0.043715172,0,0,57.26788477,22.48860484,-0.023510876,23.99367262,24.49204976,-0.00057583,-0.020308583,2.4912455,87.86222404,0,0,0.038750064,101.3315074,99.07938541
,,579,22.46414518,41.38850335,-145.9334681,0.0153895,0.542762926,0,0,57.29034641,22.44088412,-0.091901611,23.94028013,24.43747264,-0.002245843,-0.079207276,2.4912455,87.86222404,0,0,0.038758963,101.3702619,98.94705771
,,580,22.42872657,14.73505532,-76.01620101,0.043158583,1.522133855,0,0,57.31279285,22.43752849,-0.134268138,23.93587441,24.4343267,-0.003280752,-0.115706833,2.4912455,87.86222404,0,0,0.038697689,101.4089902,98.81516008
,,581,22.47557287,68.47237491,-55.60363743,0.009307,0.328242929,0,0,57.335245,22.45145516,-0.021166373,23.95174818,24.44930204,-0.000517503,-0.018251501,2.4912455,87.86222404,0,0,0.038778685,101.4477284,98.68372633
,,582,22.38473091,0,-1998.487476,0.001689333,0.059580071,0,0,57.35767515,22.56308136,-0.137405203,24.07083367,24.57047801,-0.003376112,-0.119070026,2.4912455,87.86222404,0,0,0.038620922,101.4864282,98.55270644
,,583,22.17983143,19.75892108,-72.26751051,0.031828,1.122522395,0,0,57.37995743,22.45224152,-0.094082812,23.95010781,24.44793338,-0.00230013,-0.081121899,2.4912455,87.86222404,0,0,0.038266925,101.5248721,98.42188239
,,584,22.22603911,0,0,-0.008789083,-0.30997684,0,0,57.40216037,22.46651782,-0.025335214,23.96298291,24.45921668,-0.000619679,-0.0218551,2.4912455,87.86222404,0,0,0.038346809,101.563179,98.29137049
,,585,22.29215974,23.30598459,-103.5352441,0.027120583,0.956499377,0,0,57.42441947,22.5231683,-0.114522418,24.01945294,24.51865983,-0.002807936,-0.099031397,2.4912455,87.86222404,0,0,0.038460939,101.6015829,98.1614008
,,586,22.29469538,10.0870522,-23.53909272,0.062668833,2.210229009,0,0,57.44671289,22.52573022,-0.060158721,24.02295041,24.52125739,-0.001475167,-0.052026786,2.4912455,87.86222404,0,0,0.038465314,101.640046,98.03193326
,,587,22.28409944,0,0,-0.032826333,-1.157732007,0,0,57.46900229,22.55832815,-0.045581687,24.05496855,24.55137792,-0.001119093,-0.039468619,2.4912455,87.86222404,0,0,0.038446816,101.6785021,97.90289998
,,588,22.18362125,0,-332.7008339,0.007135167,0.251645858,0,0,57.49123615,22.51058284,-0.096902269,24.00239842,24.49762965,-0.002373876,-0.083722787,2.4912455,87.86222404,0,0,0.038273193,101.7168621,97.77421114
,,589,22.12939983,9.104960952,-13.41137343,0.06891375,2.430477181,0,0,57.51339266,22.42203017,-0.037881071,23.90378716,24.39814949,-0.000924228,-0.032596037,2.4912455,87.86222404,0,0,0.038179811,101.7550886,97.64582795
,,590,22.26053052,0,0,-0.001857417,-0.0655081,0,0,57.53558763,22.50121977,-0.048247469,23.98636241,24.48196105,-0.001181193,-0.041658766,2.4912455,87.86222404,0,0,0.038406319,101.7933816,97.51794513
,,591,22.35424773,70.54077089,-239.270711,0.008985333,0.316898262,0,0,57.55789502,22.50024688,-0.087830181,23.98456082,24.47822682,-0.002149927,-0.075824473,2.4912455,87.86222404,0,0,0.03856849,101.831869,97.39068531
,,592,22.19905634,0,0,-0.009956333,-0.351143872,0,0,57.58017167,22.49266163,-0.036008612,23.9741825,24.46965632,-0.000881118,-0.031075629,2.4912455,87.86222404,0,0,0.038299989,101.8703033,97.26380349
,,593,22.22124031,32.63339149,-52.73312611,0.01930725,0.68093567,0,0,57.60238182,22.51524824,-0.041574193,23.99634434,24.48951073,-0.001018132,-0.035907867,2.4912455,87.86222404,0,0,0.038338263,101.9086224,97.13723746
,,594,21.99195503,6.764810018,-27.18395576,0.092177,3.250934612,0,0,57.62448841,22.5739411,-0.102068103,24.05506318,24.54964299,-0.002505735,-0.088373263,2.4912455,87.86222404,0,0,0.037941248,101.9467622,97.01092325
,,595,21.92622728,71.91882024,-106.3222614,0.008644417,0.30487468,0,0,57.6464475,22.4957517,-0.037568011,23.97180731,24.46480143,-0.000919094,-0.032414965,2.4912455,87.86222404,0,0,0.037827905,101.9846467,96.88478572
,,596,21.9430977,21.44277387,-85.95332317,0.029015583,1.023332981,0,0,57.66838217,22.49100295,-0.101957746,23.96617385,24.46097432,-0.002493986,-0.08795887,2.4912455,87.86222404,0,0,0.037857117,102.0224892,96.75903048
,,597,22.02343344,13.98909981,-68.28163244,0.0446385,1.574328137,0,0,57.69036543,22.48551867,-0.124637589,23.96026619,24.45481869,-0.00304799,-0.107497695,2.4912455,87.86222404,0,0,0.037996144,102.0604159,96.63377794
,,598,22.01970018,0,0,-0.0291125,-1.026751076,0,0,57.712387,22.54787394,-0.046278782,24.02543429,24.52001756,-0.001134757,-0.040021039,2.4912455,87.86222404,0,0,0.03798938,102.0984086,96.50900836
,,599,21.98735222,36.69588127,-206.8647691,0.016989083,0.599177659,0,0,57.73439053,22.53636248,-0.143404244,24.01246658,24.50724402,-0.003514443,-0.123948748,2.4912455,87.86222404,0,0,0.037933467,102.1363701,96.38462525
,,600,21.89757668,11.59589596,-49.21950385,0.053543417,1.888390233,0,0,57.75633299,22.53243169,-0.107571717,24.00483322,24.49882258,-0.00263538,-0.09294563,2.4912455,87.86222404,0,0,0.037778156,102.1742259,96.26055498
,,601,21.95083966,0,0,-0.021507917,-0.758549646,0,0,57.7782572,22.52065518,-0.029963813,23.98852504,24.4817461,-0.000733566,-0.02587171,2.4912455,87.86222404,0,0,0.037870369,102.2120501,96.13686722
,,602,22.08601631,28.11533465,-104.0023085,0.0222735,0.78555054,0,0,57.80027563,22.59332793,-0.094322873,24.06305584,24.55921187,-0.002316495,-0.08169907,2.4912455,87.86222404,0,0,0.038103901,102.2500373,96.01374689
,,603,22.12488804,12.27147548,-36.45253959,0.051120917,1.802952552,0,0,57.82238108,22.62273826,-0.075778877,24.0934826,24.59111719,-0.001863487,-0.065722199,2.4912455,87.86222404,0,0,0.038171015,102.2881747,95.89117923
,,604,21.93192827,0,0,-0.01947575,-0.686878395,0,0,57.84440949,22.51356533,-0.050046054,23.9771484,24.47027793,-0.001224641,-0.043191115,2.4912455,87.86222404,0,0,0.037837682,102.3261791,95.76888988
,,605,21.92409233,11.2670276,-43.4004534,0.055173,1.945863018,0,0,57.8663375,22.52588428,-0.097797171,23.99135244,24.48468802,-0.002394533,-0.084451337,2.4912455,87.86222404,0,0,0.037824065,102.3640099,95.64683884
,,606,21.80961071,13.2463115,-43.3924133,0.046683917,1.646466695,0,0,57.88820435,22.58594698,-0.082523273,24.05468316,24.54735172,-0.002025728,-0.071444163,2.4912455,87.86222404,0,0,0.037625705,102.4017348,95.52508968
,,607,21.76087046,0,0,-0.026010917,-0.917363217,0,0,57.90998959,22.57665052,-0.025293972,24.04094675,24.53609731,-0.000620615,-0.021888106,2.4912455,87.86222404,0,0,0.037541423,102.4393184,95.40360723
,,608,21.73505031,23.409687,-86.79801867,0.026325667,0.928463944,0,0,57.93173755,22.50516514,-0.093430148,23.96495235,24.45694207,-0.002285016,-0.080588831,2.4912455,87.86222404,0,0,0.037497091,102.4768377,95.28246307
,,609,21.77894766,31.28889717,-98.68395172,0.019736083,0.696059933,0,0,57.95349455,22.5403418,-0.079511592,24.0017087,24.49497799,-0.001947635,-0.068689945,2.4912455,87.86222404,0,0,0.037572872,102.5143726,95.16173161
