General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,918,20.91119712,101.823783,0.00501929,0.14515598,0.976011,0.970946,20.587655,-0.0358,0,0,411.855,341.791,343.77,1013.202,355.212,0
,,919,20.91076988,101.619918,0.00502353,0.14512656,0.974948,0.975215,20.603532,-0.0361,0,0,-7.89029932022095E+37,341.77,343.785,1013.248,240.068,0
,,920,20.91023382,101.55509,0.00502037,0.1451165,0.976145,0.975665,20.602639,-0.0363,0,0,-2.00970067977905E+37,341.762,343.78,1013.32,327.16,0
,,921,20.91097948,101.027751,0.00501929,0.14507702,0.977786,0.982471,20.663169,-0.0361,0,0,441.1,341.706,343.679,1013.365,466.051,0
,,922,20.91141074,101.332598,0.00502353,0.14261905,0.976928,0.993782,20.629752,-0.0362,0,0,-7.89029932022095E+37,341.652,343.695,1013.378,217.084,0
,,923,20.91125153,101.378044,0.00501614,0.14199555,0.975845,0.982863,20.61992,-0.0362,0,0,-2.00970067977905E+37,341.683,343.779,1013.315,329.098,0
,,924,20.91119712,100.905222,0.00501822,0.14199555,0.976664,0.970385,20.58816,-0.0361,0,0,319.713,341.699,343.704,1013.345,346.607,0
,,925,20.91012902,100.87715,0.00501506,0.14195607,0.976308,0.97967,20.549268,-0.0361,0,0,-7.89029932022095E+37,341.629,343.609,1013.453,211.589,0
,,926,20.91049783,101.4682,0.00501822,0.1419855,0.975535,0.974556,20.563864,-0.0361,0,0,-2.00970067977905E+37,341.582,343.617,1013.433,434.501,0
,,927,20.91087468,101.475681,0.00501506,0.14203504,0.977273,0.965191,20.575511,-0.0362,0,0,157.367,341.505,343.506,1013.357,450.935,0
,,928,20.91114271,101.926186,0.00501822,0.14204509,0.97695,0.977446,20.568339,-0.0363,0,0,-7.89029932022095E+37,341.435,343.382,1013.347,242.731,0
,,929,20.91119712,104.369461,0.00501929,0.14196613,0.975371,0.981294,20.572527,-0.0363,0,0,-2.00970067977905E+37,341.377,343.329,1013.339,375.784,0
,,930,20.91076988,102.349851,0.00501929,0.14202498,0.976916,0.974804,20.479077,-0.0362,0,0,371.94,341.356,343.311,1013.307,358.691,0
,,931,20.91023382,101.519468,0.00528202,0.14196613,0.97773,0.984226,20.441606,-0.036,0,0,280.677,341.337,343.31,1013.307,165.929,0
,,932,20.91055224,100.845569,0.00535317,0.14202498,0.975707,0.989573,20.424058,-0.0361,0,0,487.215,341.306,343.257,1013.248,421.634,0
,,933,20.9110883,100.472475,0.00535425,0.14200561,0.976189,0.979375,20.419534,-0.0362,0,0,433.012,341.262,343.235,1013.277,273.323,0
,,934,20.91119712,100.677654,0.00535001,0.14199555,0.977514,0.976361,20.401929,-0.0362,0,0,328.826,341.265,343.235,1013.266,133.125,0
,,935,20.91119712,101.382981,0.00534893,0.14203504,0.977738,0.978062,20.389733,-0.0361,0,0,568.013,341.253,343.262,1013.245,443.965,0
,,936,20.9109835,100.739647,0.00535317,0.13951858,0.976021,0.970696,20.406954,-0.0362,0,0,-7.89029932022095E+37,341.272,343.29,1013.168,168.055,0
,,937,20.91028823,101.584251,0.00535425,0.13887506,0.976676,0.964924,20.37299,-0.0362,0,0,-2.00970067977905E+37,341.297,343.345,1013.093,283.523,0
,,938,20.90969776,101.058214,0.00535001,0.13891454,0.977498,0.976314,20.355779,-0.0362,0,0,365.918,341.316,343.335,1013.168,350.12,0
,,939,20.90937532,102.247683,0.00534893,0.13888512,0.976547,0.982738,20.378598,-0.0362,0,0,194.753,341.287,343.308,1013.197,207.36,0
,,940,20.90910729,101.635954,0.00535317,0.13887506,0.977335,0.980295,20.342374,-0.0361,0,0,334.213,341.222,343.234,1013.172,364.635,0
,,941,20.9092665,100.993993,0.00535849,0.13891454,0.978033,0.994332,20.346175,-0.0361,0,0,221.056,341.181,343.181,1013.037,249.681,0
,,942,20.90889367,101.773148,0.00535533,0.1389246,0.976081,0.992576,20.346244,-0.0361,0,0,206.198,341.184,343.151,1012.97,285.56,0
,,943,20.90857123,102.405178,0.00535425,0.13888512,0.978138,0.976038,20.284057,-0.036,0,0,304.08,341.133,343.115,1013.03,336.798,0
,,944,20.90851682,102.246067,0.00535001,0.13887506,0.977446,0.974202,20.321024,-0.0361,0,0,203.389,341.09,343.078,1013.087,240.616,0
,,945,20.90894406,102.802935,0.00535317,0.13891454,0.976912,0.975472,20.290531,-0.0361,0,0,347.308,341.088,343.106,1012.969,344.098,0
,,946,20.9092665,101.838417,0.00535425,0.1389246,0.976698,0.970118,20.256957,-0.0361,0,0,430.245,341.086,343.044,1013.002,351.544,0
,,947,20.90910729,100.703191,0.00535425,0.13888512,0.97668,0.971983,20.280506,-0.0362,0,0,340.781,341.036,343.044,1012.918,199.338,0
,,948,20.90862564,101.400214,0.00535425,0.13891454,0.976851,0.984162,20.234017,-0.0362,0,0,425.937,341.018,343.072,1012.898,353.565,0
,,949,20.90851682,101.552491,0.00562125,0.13888512,0.97687,0.991587,20.222564,-0.0361,0,0,360.641,341.066,343.131,1012.883,193.374,0
