Exported data
Parameter,Value,Time (s),HRR (kW/m²),EHC (MJ/kg),SEA (m²/kg),MLR (g/s),Specific MLR (g/s·m²),COY (kg/kg),CO2Y (kg/kg),THR (MJ/m²),MFR (g/s),k (1/m),V stack (l/s),V smoke (l/s),SPR (m²/s),RSR ((m²/s)/m²),TSP (m²),TSR (m²/m²),COP (g/s),CO2P (g/s),O2C (g/s),TOC (g),ARHE(kW/m²).Specimen mass (g)
t peak CO2Y (s),838,14,-4.24395368147768,0,0,-0.0228085833333296,-2.28085833333296,0,0,0,25.5288571248396,-0.00272360808893173,23.6368006491322,23.7768113610049,-6.47587157518368E-05,-0.00647587157518368,0.0129858277894327,1.29858277894327,0.0002283851388172,0.0211482192023965,-0.00239945852429412,0,0,120.395375
,,15,-4.38321971956871,0,0,-0.0451056666666692,-4.51056666666692,0,0,0,25.7247923746444,0.0844610573625951,23.8216376110368,23.9708078209331,0.00202459977439157,0.202459977439157,0.0139981276766285,1.39981276766285,0.000313738611044093,0.0213257228983539,-0.0024478017783876,0,0,120.417904
Test Results (between 20 and 852 s),,16,-4.54134256937918,-2.29195784315851,279.483316775122,0.0198142499999949,1.98142499999949,0.0200745977556292,1.07187156048399,0,25.6328295615592,0.231809362467129,23.741776424893,23.8892521444007,0.00553775230941002,0.553775230941002,0.0177793037185293,1.77793037185293,0.000397763098579372,0.0212383310673144,-0.00251345753463946,0,0,120.464832
mean HRR (kW/m²),144.625948323263,17,-4.42131934790128,-0.851297378594223,171.33744138215,0.0519362499999983,5.19362499999983,0.00923356624861618,0.408532844452842,0,25.5941521599696,0.372952417264391,23.7080539817877,23.8599450708883,0.00889862418998339,0.889862418998339,0.024997491968226,2.4997491968226,0.000479556805079677,0.0212176639427132,-0.00240609327679715,0,0,120.386181
mean EHC (MJ/kg),12.3693301223281,18,-0.374009206628235,-0.453536902477783,1441.08466922468,0.00824649999999849,0.824649999999849,0.0679996101849895,2.56970932577898,0,25.5759150846553,0.498162640977569,23.6983299760899,23.8554715814072,0.0118839047247592,1.18839047247592,0.0353887564255973,3.53887564255973,0.000560758785390413,0.0211911079550324,0.000101548672057546,5.07743360287731E-05,0,120.379362
mean MLR (g/s),0.116923349559295,19,23.5994374124608,10.3836866981299,633.893243334358,0.0227274166666748,2.27274166666748,0.0281857386558838,0.928070774371684,0.0117997187062304,25.4249548646001,0.607135451943728,23.5670186622644,23.7290637819402,0.0144067558634498,1.44067558634498,0.0485340867197018,4.85340867197018,0.000640589026490273,0.0210926511853088,0.0148277045033147,0.00751540092371492,0.621037826643704,120.357379
mean SEA (m²/kg),78.0431089672163,20,57.4029670271973,19.6170656325074,541.025339662535,0.0292617499999975,2.92617499999975,0.0226550706869953,0.75953914226037,0.0523009209260594,25.6319063411487,0.661391211944916,23.7703863667129,23.9364357235931,0.0158313482328688,1.58313482328688,0.0636531387678611,6.36531387678611,0.000662927014675127,0.0222254444960355,0.0357475371514972,0.0328030217511209,2.61504604630297,120.333374
mean COY (kg/kg),0.00507731844453224,21,92.0543440457617,13.4653080327172,194.865669443738,0.0683640833333286,6.83640833333286,0.00968297404749649,0.32870128319117,0.127029576462539,25.6354558134986,0.556275172512383,23.7810090492755,23.9482427455632,0.0133218128646566,1.33218128646566,0.0782297193166238,7.82297193166238,0.000661967644697508,0.0224713619158532,0.0571285120496048,0.0792410463516719,6.04902745059709,120.291006
mean CO2Y (kg/kg),1.5314390458045,22,126.818460738857,11.9992109622437,152.402979290913,0.105688999999999,10.5688999999999,0.00687933895795279,0.230361037001907,0.236465978854848,25.5698763048609,0.673535968791481,23.728209726819,23.9145631779375,0.0161073184782772,1.61073184782772,0.0929442849880907,9.29442849880907,0.000727070455127067,0.0243466276396944,0.0789210052042539,0.147265804978601,10.7484535843113,120.199519
Total heat release (MJ/m²),120.328789004955,23,156.554576096119,0,0,-0.0073028333333364,-0.73028333333364,0,0,0.378152497272336,25.1627578816436,0.193666578175368,23.4403972364005,23.690042083688,0.0045879693871783,0.45879693871783,0.103291928920818,10.3291928920818,0.000732302116852893,0.0263303156960041,0.0976978181181717,0.235575216639814,16.4414129248842,120.106908
