s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.8962730E+002, 1.4844950E+000,-4.2909400E-001,-1.1722870E+000,-3.2835327E-002, 2.1234536E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0874295E-001,-1.2848683E-001, 1.0231536E-004, 1.1232821E-004
 1.9080711E+002, 1.4776806E+000,-4.0552946E-001,-1.0002288E+000,-3.1244604E-002, 2.2172667E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.3846227E-002, 6.2850358E-002, 1.0195353E-004, 1.1195111E-004
 1.9202469E+002, 1.4789399E+000,-4.0986977E-001,-1.1008649E+000,-4.3195938E-002, 2.1747590E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6188674E-002,-5.3243173E-002, 1.0188648E-004, 1.1186856E-004
 1.9321080E+002, 1.4740958E+000,-4.2453997E-001,-1.0578444E+000,-3.5488819E-002, 2.0066150E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0540601E-002,-2.3711257E-002, 1.0130440E-004, 1.1127074E-004
 1.9442119E+002, 1.4539499E+000,-4.1347617E-001,-1.0460236E+000,-2.3872494E-002, 2.1438526E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3479250E-002,-7.9838745E-003, 1.0061069E-004, 1.1056122E-004
 1.9561345E+002, 1.4465090E+000,-4.0865565E-001,-1.0111834E+000,-6.7468510E-002, 2.0638701E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.1752709E-002,-2.0159856E-002, 9.9728970E-005, 1.0966342E-004
 1.9680141E+002, 1.4262133E+000,-3.9782682E-001,-1.0718665E+000,-2.4517651E-002, 2.0830554E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7146115E-002,-4.7167114E-002, 9.8379385E-005, 1.0829759E-004
 1.9800992E+002, 1.4341686E+000,-4.0767670E-001,-1.0844668E+000,-3.1341769E-002, 1.9994845E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.9334434E-002,-6.9321845E-002, 9.7818581E-005, 1.0772025E-004
 1.9920375E+002, 1.4175004E+000,-3.9179172E-001,-1.0444841E+000,-1.1918379E-002, 2.0178133E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9354684E-003,-1.0515712E-002, 9.7620521E-005, 1.0750546E-004
 2.0041234E+002, 1.4249907E+000,-4.0834084E-001,-1.0022165E+000,-2.4669882E-002, 1.8965416E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.2096150E-002, 8.7288280E-003, 9.7408584E-005, 1.0727650E-004
 2.0160567E+002, 1.4126425E+000,-3.9846818E-001,-1.0502161E+000,-1.8098571E-002, 1.9644071E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2630078E-002,-3.4496271E-002, 9.7227782E-005, 1.0707846E-004
 2.0281747E+002, 1.4217612E+000,-4.0670921E-001,-1.0831099E+000,-1.0139058E-002, 1.9535895E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7972792E-002,-5.8661073E-002, 9.7640213E-005, 1.0747346E-004
 2.0401401E+002, 1.4233787E+000,-3.9880822E-001,-1.0233520E+000,-8.6263705E-003, 1.9142684E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0503766E-002, 1.1734792E-002, 9.8175912E-005, 1.0799162E-004
 2.0521609E+002, 1.4432142E+000,-4.1062203E-001,-1.0305037E+000,-1.2802771E-002, 1.9182206E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.1044889E-002, 8.4679280E-003, 9.8827668E-005, 1.0862588E-004
 2.0642633E+002, 1.4472452E+000,-4.0544977E-001,-1.0739536E+000,-1.7349765E-002, 1.9967896E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4572292E-002,-2.9540055E-002, 9.9549960E-005, 1.0933069E-004
 2.0760283E+002, 1.4572217E+000,-4.1296604E-001,-1.0599296E+000,-9.1505858E-003, 1.9606088E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5271385E-003,-5.2183636E-003, 1.0015763E-004, 1.0992124E-004
 2.0881705E+002, 1.4538842E+000,-4.1243556E-001,-1.0713444E+000,-1.8567409E-002, 2.1644147E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2850780E-003,-2.6819068E-002, 1.0072836E-004, 1.1047507E-004
 2.1000584E+002, 1.4694166E+000,-4.1075687E-001,-1.0664167E+000,-1.7061302E-002, 2.0518797E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6979349E-002,-4.2994811E-003, 1.0078292E-004, 1.1051294E-004
 2.1120712E+002, 1.4577683E+000,-4.2029780E-001,-1.0553975E+000,-2.4919098E-002, 2.0367479E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9155428E-003,-2.2478633E-002, 1.0061491E-004, 1.1032874E-004
 2.1242885E+002, 1.4585912E+000,-4.0321423E-001,-1.0950785E+000,-1.2264442E-002, 2.0304492E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8264211E-002,-3.1661546E-002, 1.0043213E-004, 1.1013001E-004
