s,kg,C,kW,m
Time,"null","null","null","null"
 2.7482152E+002, 1.0096446E+001, 6.1690783E+002, 1.5971553E+002, 4.6089034E-002
 2.7601680E+002, 1.0081979E+001, 6.0597688E+002, 1.6079091E+002, 4.6077679E-002
 2.7720374E+002, 1.0067608E+001, 6.0147922E+002, 1.5949675E+002, 4.6065776E-002
 2.7841830E+002, 1.0053137E+001, 6.1163402E+002, 1.6062973E+002, 4.6053486E-002
 2.7962667E+002, 1.0038518E+001, 6.1489594E+002, 1.5936637E+002, 4.6041335E-002
 2.8081260E+002, 1.0024060E+001, 6.1791432E+002, 1.6039609E+002, 4.6029632E-002
 2.8200166E+002, 1.0009764E+001, 6.1867453E+002, 1.6021846E+002, 4.6018361E-002
 2.8320639E+002, 9.9953543E+000, 6.0619714E+002, 1.5958071E+002, 4.6007002E-002
 2.8440987E+002, 9.9808874E+000, 6.0651564E+002, 1.5881127E+002, 4.5995228E-002
 2.8561045E+002, 9.9664717E+000, 6.1824713E+002, 1.5891616E+002, 4.5983333E-002
 2.8682024E+002, 9.9520638E+000, 6.0784628E+002, 1.5802250E+002, 4.5971693E-002
 2.8803310E+002, 9.9376004E+000, 6.0018181E+002, 1.5679306E+002, 4.5959901E-002
 2.8921253E+002, 9.9234279E+000, 5.9440771E+002, 1.5805527E+002, 4.5948037E-002
 2.9041038E+002, 9.9094272E+000, 6.0305751E+002, 1.5578561E+002, 4.5936181E-002
 2.9161902E+002, 9.8952970E+000, 5.9117317E+002, 1.5456533E+002, 4.5924323E-002
 2.9280837E+002, 9.8813331E+000, 5.9413042E+002, 1.5437852E+002, 4.5912552E-002
 2.9401898E+002, 9.8674066E+000, 5.9291258E+002, 1.5308565E+002, 4.5900913E-002
 2.9521905E+002, 9.8534487E+000, 5.8955725E+002, 1.5278908E+002, 4.5889376E-002
 2.9640012E+002, 9.8397304E+000, 5.8801062E+002, 1.5239517E+002, 4.5878110E-002
 2.9760889E+002, 9.8259926E+000, 5.9000641E+002, 1.5201999E+002, 4.5866930E-002
 2.9880862E+002, 9.8121886E+000, 5.8453426E+002, 1.5129556E+002, 4.5855829E-002
 3.0000064E+002, 9.7984993E+000, 5.9118091E+002, 1.5208387E+002, 4.5844895E-002
 3.0120347E+002, 9.7848536E+000, 5.9446643E+002, 1.5085986E+002, 4.5834196E-002
 3.0241819E+002, 9.7710837E+000, 5.9475913E+002, 1.5000475E+002, 4.5823647E-002
 3.0360823E+002, 9.7574160E+000, 5.9743393E+002, 1.4994170E+002, 4.5813326E-002
 3.0482366E+002, 9.7437613E+000, 5.9997430E+002, 1.5106169E+002, 4.5803104E-002
 3.0601842E+002, 9.7300978E+000, 5.9672642E+002, 1.5035480E+002, 4.5792969E-002
 3.0720872E+002, 9.7165668E+000, 5.9584425E+002, 1.4968731E+002, 4.5782895E-002
 3.0840319E+002, 9.7030503E+000, 5.9139871E+002, 1.4986270E+002, 4.5772715E-002
 3.0962348E+002, 9.6893697E+000, 6.0171823E+002, 1.4938484E+002, 4.5762345E-002
 3.1081219E+002, 9.6757629E+000, 6.0205528E+002, 1.5007756E+002, 4.5752123E-002
 3.1201546E+002, 9.6623008E+000, 5.9696158E+002, 1.4842911E+002, 4.5742056E-002
 3.1322083E+002, 9.6487660E+000, 5.9623069E+002, 1.4813685E+002, 4.5731816E-002
 3.1440660E+002, 9.6353835E+000, 5.9215372E+002, 1.4818548E+002, 4.5721561E-002
 3.1561495E+002, 9.6220277E+000, 5.8528703E+002, 1.4724871E+002, 4.5711155E-002
 3.1680688E+002, 9.6086465E+000, 5.8555356E+002, 1.4675605E+002, 4.5700554E-002
 3.1802594E+002, 9.5952454E+000, 5.8404265E+002, 1.4636504E+002, 4.5689864E-002
 3.1921850E+002, 9.5819002E+000, 5.8571949E+002, 1.4639062E+002, 4.5679233E-002
 3.2040685E+002, 9.5687725E+000, 5.9170496E+002, 1.4632559E+002, 4.5668868E-002
 3.2161354E+002, 9.5555826E+000, 5.9620072E+002, 1.4548435E+002, 4.5658632E-002
 3.2282290E+002, 9.5423068E+000, 5.9896854E+002, 1.4535441E+002, 4.5648537E-002
 3.2402566E+002, 9.5290695E+000, 5.9983847E+002, 1.4498331E+002, 4.5638630E-002
 3.2521435E+002, 9.5159731E+000, 5.9977364E+002, 1.4512981E+002, 4.5628894E-002
 3.2640848E+002, 9.5029245E+000, 6.0507215E+002, 1.4418292E+002, 4.5619217E-002
 3.2760486E+002, 9.4898658E+000, 5.9566004E+002, 1.4364303E+002, 4.5609531E-002
 3.2881796E+002, 9.4767147E+000, 5.9595303E+002, 1.4382657E+002, 4.5599582E-002
 3.3002883E+002, 9.4635157E+000, 6.1063054E+002, 1.4348441E+002, 4.5589522E-002
 3.3120960E+002, 9.4505219E+000, 6.0215271E+002, 1.4374281E+002, 4.5579749E-002
 3.3242430E+002, 9.4375258E+000, 5.9537563E+002, 1.4326808E+002, 4.5569851E-002
