s,kg/m2,C,C
Time,"null","null","null"
 4.0080000E+003, 5.4157690E-003, 1.5322000E+002, 1.5315958E+002
 4.0320000E+003, 5.4157689E-003, 1.5402000E+002, 1.5395966E+002
 4.0560000E+003, 5.4157688E-003, 1.5482000E+002, 1.5475973E+002
 4.0800000E+003, 5.4157687E-003, 1.5562000E+002, 1.5555981E+002
 4.1040000E+003, 5.4157685E-003, 1.5642000E+002, 1.5635989E+002
 4.1280000E+003, 5.4157684E-003, 1.5722000E+002, 1.5715996E+002
 4.1520000E+003, 5.4157682E-003, 1.5802000E+002, 1.5796004E+002
 4.1760000E+003, 5.4157680E-003, 1.5882000E+002, 1.5876011E+002
 4.2000000E+003, 5.4157678E-003, 1.5962000E+002, 1.5956018E+002
 4.2240000E+003, 5.4157676E-003, 1.6042000E+002, 1.6036026E+002
 4.2480000E+003, 5.4157673E-003, 1.6122000E+002, 1.6116033E+002
 4.2720000E+003, 5.4157670E-003, 1.6202000E+002, 1.6196040E+002
 4.2960000E+003, 5.4157667E-003, 1.6282000E+002, 1.6276047E+002
 4.3200000E+003, 5.4157664E-003, 1.6362000E+002, 1.6356054E+002
 4.3440000E+003, 5.4157660E-003, 1.6442000E+002, 1.6436061E+002
 4.3680000E+003, 5.4157656E-003, 1.6522000E+002, 1.6516068E+002
 4.3920000E+003, 5.4157652E-003, 1.6602000E+002, 1.6596075E+002
 4.4160000E+003, 5.4157647E-003, 1.6682000E+002, 1.6676082E+002
 4.4400000E+003, 5.4157642E-003, 1.6762000E+002, 1.6756089E+002
 4.4640000E+003, 5.4157637E-003, 1.6842000E+002, 1.6836095E+002
 4.4880000E+003, 5.4157630E-003, 1.6922000E+002, 1.6916102E+002
 4.5120000E+003, 5.4157624E-003, 1.7002000E+002, 1.6996109E+002
 4.5360000E+003, 5.4157616E-003, 1.7082000E+002, 1.7076115E+002
 4.5600000E+003, 5.4157609E-003, 1.7162000E+002, 1.7156122E+002
 4.5840000E+003, 5.4157600E-003, 1.7242000E+002, 1.7236128E+002
 4.6080000E+003, 5.4157591E-003, 1.7322000E+002, 1.7316135E+002
 4.6320000E+003, 5.4157580E-003, 1.7402000E+002, 1.7396141E+002
 4.6560000E+003, 5.4157569E-003, 1.7482000E+002, 1.7476148E+002
 4.6800000E+003, 5.4157557E-003, 1.7562000E+002, 1.7556154E+002
 4.7040000E+003, 5.4157544E-003, 1.7642000E+002, 1.7636160E+002
 4.7280000E+003, 5.4157530E-003, 1.7722000E+002, 1.7716167E+002
 4.7520000E+003, 5.4157514E-003, 1.7802000E+002, 1.7796173E+002
 4.7760000E+003, 5.4157498E-003, 1.7882000E+002, 1.7876179E+002
 4.8000000E+003, 5.4157479E-003, 1.7962000E+002, 1.7956185E+002
 4.8240000E+003, 5.4157459E-003, 1.8042000E+002, 1.8036191E+002
 4.8480000E+003, 5.4157438E-003, 1.8122000E+002, 1.8116197E+002
 4.8720000E+003, 5.4157415E-003, 1.8202000E+002, 1.8196203E+002
 4.8960000E+003, 5.4157389E-003, 1.8282000E+002, 1.8276209E+002
 4.9200000E+003, 5.4157362E-003, 1.8362000E+002, 1.8356215E+002
 4.9440000E+003, 5.4157332E-003, 1.8442000E+002, 1.8436221E+002
 4.9680000E+003, 5.4157300E-003, 1.8522000E+002, 1.8516226E+002
