s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 2.4600000E+002, 1.0200142E+002, 9.9874341E-001, 2.9486521E-006, 5.6188085E-009, 4.5335579E-001
 2.4900000E+002, 1.0300142E+002, 9.9873567E-001, 2.2097306E-006, 6.6084458E-009, 4.5167339E-001
 2.5200000E+002, 1.0400142E+002, 9.9873000E-001, 1.6012148E-006, 7.7657036E-009, 4.5028889E-001
 2.5500000E+002, 1.0500142E+002, 9.9872595E-001, 1.1188257E-006, 9.1178327E-009, 4.4919208E-001
 2.5800000E+002, 1.0600142E+002, 9.9872321E-001, 7.5161262E-007, 1.0696327E-008, 4.4835758E-001
 2.6100000E+002, 1.0700142E+002, 9.9872136E-001, 4.8390785E-007, 1.2537557E-008, 4.4774956E-001
 2.6400000E+002, 1.0800142E+002, 9.9872017E-001, 2.9756464E-007, 1.4683486E-008, 4.4732651E-001
 2.6700000E+002, 1.0900142E+002, 9.9871951E-001, 1.7412079E-007, 1.7182501E-008, 4.4704640E-001
 2.7000000E+002, 1.1000142E+002, 9.9871910E-001, 9.6571981E-008, 2.0090337E-008, 4.4687048E-001
 2.7300000E+002, 1.1100142E+002, 9.9871892E-001, 5.0551652E-008, 2.3471161E-008, 4.4676611E-001
 2.7600000E+002, 1.1200142E+002, 9.9871880E-001, 2.4861071E-008, 2.7398777E-008, 4.4670787E-001
 2.7900000E+002, 1.1300142E+002, 9.9871874E-001, 1.1430860E-008, 3.1958010E-008, 4.4667748E-001
 2.8200000E+002, 1.1400142E+002, 9.9871874E-001, 4.8881570E-009, 3.7246281E-008, 4.4666263E-001
 2.8500000E+002, 1.1500142E+002, 9.9871868E-001, 1.9334612E-009, 4.3375397E-008, 4.4665596E-001
 2.8800000E+002, 1.1600142E+002, 9.9871868E-001, 7.0352529E-010, 5.0473563E-008, 4.4665319E-001
 2.9100000E+002, 1.1700142E+002, 9.9871868E-001, 2.3452273E-010, 5.8687700E-008, 4.4665211E-001
