s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 1.7760000E+003, 1.6800035E+002, 9.6499997E-001, 1.4429590E-011, 5.7718364E-007, 1.0789039E-001
 1.7880000E+003, 1.6900035E+002, 9.6499997E-001, 1.5834986E-011, 6.3339945E-007, 1.0789040E-001
 1.8000000E+003, 1.7000035E+002, 9.6499997E-001, 1.7369975E-011, 6.9479904E-007, 1.0789041E-001
 1.8120000E+003, 1.7100035E+002, 9.6499997E-001, 1.9045824E-011, 7.6183301E-007, 1.0789040E-001
 1.8240000E+003, 1.7200035E+002, 9.6499997E-001, 2.0874719E-011, 8.3498878E-007, 1.0789037E-001
 1.8360000E+003, 1.7300035E+002, 9.6499997E-001, 2.2869831E-011, 9.1479330E-007, 1.0789040E-001
 1.8480000E+003, 1.7400035E+002, 9.6499997E-001, 2.5045402E-011, 1.0018161E-006, 1.0789039E-001
 1.8600000E+003, 1.7500035E+002, 9.6499997E-001, 2.7416810E-011, 1.0966725E-006, 1.0789038E-001
 1.8720000E+003, 1.7600035E+002, 9.6499997E-001, 3.0000665E-011, 1.2000266E-006, 1.0789042E-001
 1.8840000E+003, 1.7700035E+002, 9.6499997E-001, 3.2814897E-011, 1.3125959E-006, 1.0789042E-001
 1.8960000E+003, 1.7800035E+002, 9.6499997E-001, 3.5878859E-011, 1.4351544E-006, 1.0789041E-001
 1.9080000E+003, 1.7900035E+002, 9.6499997E-001, 3.9213417E-011, 1.5685367E-006, 1.0789040E-001
 1.9200000E+003, 1.8000035E+002, 9.6499997E-001, 4.2841081E-011, 1.7136433E-006, 1.0789042E-001
 1.9320000E+003, 1.8100035E+002, 9.6499997E-001, 4.6786110E-011, 1.8714444E-006, 1.0789041E-001
 1.9440000E+003, 1.8200035E+002, 9.6499997E-001, 5.1074641E-011, 2.0429857E-006, 1.0789037E-001
 1.9560000E+003, 1.8300035E+002, 9.6499997E-001, 5.5734837E-011, 2.2293937E-006, 1.0789040E-001
 1.9680000E+003, 1.8400035E+002, 9.6499997E-001, 6.0797013E-011, 2.4318806E-006, 1.0789043E-001
 1.9800000E+003, 1.8500035E+002, 9.6499997E-001, 6.6293797E-011, 2.6517521E-006, 1.0789039E-001
 1.9920000E+003, 1.8600035E+002, 9.6499997E-001, 7.2260316E-011, 2.8904128E-006, 1.0789043E-001
 2.0040000E+003, 1.8700035E+002, 9.6499997E-001, 7.8734325E-011, 3.1493732E-006, 1.0789040E-001
 2.0160000E+003, 1.8800035E+002, 9.6499997E-001, 8.5756444E-011, 3.4302579E-006, 1.0789043E-001
 2.0280000E+003, 1.8900035E+002, 9.6499997E-001, 9.3370325E-011, 3.7348132E-006, 1.0789042E-001
 2.0400000E+003, 1.9000035E+002, 9.6499997E-001, 1.0162286E-010, 4.0649147E-006, 1.0789041E-001
 2.0520000E+003, 1.9100035E+002, 9.6499997E-001, 1.1056445E-010, 4.4225781E-006, 1.0789043E-001
 2.0640000E+003, 1.9200035E+002, 9.6499997E-001, 1.2024917E-010, 4.8099669E-006, 1.0789045E-001
 2.0760000E+003, 1.9300035E+002, 9.6499997E-001, 1.3073510E-010, 5.2294045E-006, 1.0789043E-001
 2.0880000E+003, 1.9400035E+002, 9.6499997E-001, 1.4208457E-010, 5.6833828E-006, 1.0789043E-001
 2.1000000E+003, 1.9500035E+002, 9.6499997E-001, 1.5436440E-010, 6.1745759E-006, 1.0789042E-001
 2.1120000E+003, 1.9600035E+002, 9.6499997E-001, 1.6764626E-010, 6.7058509E-006, 1.0789040E-001
 2.1240000E+003, 1.9700035E+002, 9.6499997E-001, 1.8200702E-010, 7.2802814E-006, 1.0789046E-001
 2.1360000E+003, 1.9800035E+002, 9.6499997E-001, 1.9752901E-010, 7.9011606E-006, 1.0789043E-001
 2.1480000E+003, 1.9900035E+002, 9.6499997E-001, 2.1430044E-010, 8.5720185E-006, 1.0789046E-001
 2.1600000E+003, 2.0000035E+002, 9.6499997E-001, 2.3241579E-010, 9.2966320E-006, 1.0789044E-001
 2.1720000E+003, 2.0100035E+002, 9.6499997E-001, 2.5197622E-010, 1.0079049E-005, 1.0789049E-001
 2.1840000E+003, 2.0200035E+002, 9.6499997E-001, 2.7309000E-010, 1.0923600E-005, 1.0789046E-001
 2.1960000E+003, 2.0300035E+002, 9.6499997E-001, 2.9587291E-010, 1.1834917E-005, 1.0789046E-001
 2.2080000E+003, 2.0400035E+002, 9.6499997E-001, 3.2044889E-010, 1.2817956E-005, 1.0789047E-001
 2.2200000E+003, 2.0500035E+002, 9.6499997E-001, 3.4695039E-010, 1.3878016E-005, 1.0789046E-001
