s,C,g/g,1/s,W/g,W/g
Time,Temp,Mass,MLR,MCC,DSC
 2.5500000E+002, 1.0500141E+002, 9.8757088E-001, 1.0915321E-005, 1.2645378E-018, 4.6641585E-001
 2.5800000E+002, 1.0600141E+002, 9.8754376E-001, 7.3327756E-006, 1.5485728E-018, 4.5827478E-001
 2.6100000E+002, 1.0700142E+002, 9.8752594E-001, 4.7210337E-006, 1.8943855E-018, 4.5234284E-001
 2.6400000E+002, 1.0800142E+002, 9.8751467E-001, 2.9030573E-006, 2.3149714E-018, 4.4821566E-001
 2.6700000E+002, 1.0900142E+002, 9.8750788E-001, 1.6987303E-006, 2.8259672E-018, 4.4548273E-001
 2.7000000E+002, 1.1000142E+002, 9.8750401E-001, 9.4215812E-007, 3.4461678E-018, 4.4376656E-001
 2.7300000E+002, 1.1100142E+002, 9.8750192E-001, 4.9317975E-007, 4.1981414E-018, 4.4274852E-001
 2.7600000E+002, 1.1200142E+002, 9.8750091E-001, 2.4253967E-007, 5.1089603E-018, 4.4218034E-001
 2.7900000E+002, 1.1300142E+002, 9.8750037E-001, 1.1151246E-007, 6.2110684E-018, 4.4188344E-001
 2.8200000E+002, 1.1400142E+002, 9.8750013E-001, 4.7680111E-008, 7.5433082E-018, 4.4173881E-001
 2.8500000E+002, 1.1500142E+002, 9.8750007E-001, 1.8852397E-008, 9.1521372E-018, 4.4167352E-001
 2.8800000E+002, 1.1600142E+002, 9.8750001E-001, 6.8513284E-009, 1.1093069E-017, 4.4164637E-001
 2.9100000E+002, 1.1700142E+002, 9.8750001E-001, 2.2737050E-009, 1.3432371E-017, 4.4163603E-001
 2.9400000E+002, 1.1800142E+002, 9.8750001E-001, 6.8424699E-010, 1.6249078E-017, 4.4163245E-001
 2.9700000E+002, 1.1900142E+002, 9.8750001E-001, 1.8533698E-010, 1.9637362E-017, 4.4163129E-001
 3.0000000E+002, 1.2000142E+002, 9.8750001E-001, 4.4822961E-011, 2.3709321E-017, 4.4163096E-001
 3.0300000E+002, 1.2100142E+002, 9.8750001E-001, 9.5962127E-012, 2.8598274E-017, 4.4163090E-001
 3.0600000E+002, 1.2200142E+002, 9.8750001E-001, 1.8020548E-012, 3.4462631E-017, 4.4163087E-001
 3.0900000E+002, 1.2300142E+002, 9.8750001E-001, 2.9392190E-013, 4.1490440E-017, 4.4163087E-001
