s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 1.9561211E+002, 2.0290130E+000,-5.7318211E-001,-1.5381070E+000,-5.8347300E-002, 4.8214212E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8002495E-002,-9.2409149E-002, 1.4215262E-004, 1.5476599E-004
 1.9680017E+002, 2.0253915E+000,-5.7875802E-001,-1.4329155E+000,-4.1198147E-002, 4.4158672E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6670540E-002, 1.6678475E-002, 1.4096754E-004, 1.5354884E-004
 1.9801489E+002, 2.0211483E+000,-5.6985730E-001,-1.5039140E+000,-2.8949554E-002, 4.2241897E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3344407E-002,-3.9330655E-002, 1.3963507E-004, 1.5218478E-004
 1.9920523E+002, 1.9997254E+000,-5.6018398E-001,-1.4246276E+000,-1.2205832E-002, 4.3975805E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4540334E-002, 4.6683832E-002, 1.3866433E-004, 1.5118289E-004
 2.0041728E+002, 1.9867195E+000,-5.5204849E-001,-1.5241270E+000,-2.2354799E-002, 4.3830067E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.8069447E-002,-6.7980677E-002, 1.3800858E-004, 1.5049600E-004
 2.0161417E+002, 1.9904126E+000,-5.7691052E-001,-1.4823854E+000,-5.4694033E-002, 4.2312265E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8805264E-002,-8.1265083E-002, 1.3754177E-004, 1.4999752E-004
 2.0281966E+002, 1.9769994E+000,-5.5047969E-001,-1.4744468E+000,-4.1100160E-002, 4.4325161E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4199034E-003,-4.4702169E-002, 1.3714721E-004, 1.4957125E-004
 2.0402600E+002, 1.9745741E+000,-5.4736557E-001,-1.3806423E+000,-1.9648194E-002, 4.5504993E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0023632E-001, 7.2423028E-002, 1.3678146E-004, 1.4917342E-004
 2.0520064E+002, 1.9569871E+000,-5.6504426E-001,-1.5269803E+000,-3.8840152E-002, 4.0921019E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0294231E-001,-1.3295660E-001, 1.3642782E-004, 1.4878791E-004
 2.0641487E+002, 1.9626642E+000,-5.6186837E-001,-1.4533322E+000,-2.3885856E-002, 4.3950457E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.1188093E-003,-3.2471755E-002, 1.3611995E-004, 1.4844808E-004
 2.0760873E+002, 1.9631654E+000,-5.6257501E-001,-1.4358582E+000,-3.1071061E-002, 4.3093292E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3118247E-003,-2.3245628E-002, 1.3581051E-004, 1.4810648E-004
 2.0881635E+002, 1.9657351E+000,-5.6202681E-001,-1.4349606E+000,-4.0107338E-002, 4.1074797E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3699796E-002,-3.0284842E-002, 1.3565169E-004, 1.4791572E-004
 2.1000128E+002, 1.9517162E+000,-5.3693873E-001,-1.4767806E+000, 9.6990703E-004, 4.2831470E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0387504E-003,-1.8201780E-002, 1.3557750E-004, 1.4780990E-004
 2.1121771E+002, 1.9545488E+000,-5.6356838E-001,-1.4314199E+000,-1.9454815E-002, 4.1975748E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.1712190E-003,-1.7918579E-002, 1.3547164E-004, 1.4767242E-004
 2.1240578E+002, 1.9490700E+000,-5.3861846E-001,-1.4722089E+000,-2.7683610E-002, 4.8155751E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.3714073E-003,-4.1285258E-002, 1.3533770E-004, 1.4750705E-004
 2.1361903E+002, 1.9284347E+000,-5.6144919E-001,-1.3783268E+000,-8.0603779E-002, 4.5529909E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3855951E-003,-4.6415191E-002, 1.3506479E-004, 1.4720318E-004
 2.1481679E+002, 1.9375504E+000,-5.5215607E-001,-1.4697643E+000,-2.4900618E-002, 4.3423225E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1334447E-002,-6.5847387E-002, 1.3458622E-004, 1.4669399E-004
 2.1601237E+002, 1.9389240E+000,-5.4585548E-001,-1.4371902E+000,-3.6462530E-002, 4.2321667E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3509424E-002,-3.8262475E-002, 1.3374203E-004, 1.4581984E-004
 2.1720898E+002, 1.9234134E+000,-5.4562594E-001,-1.4036881E+000,-1.5154152E-002, 4.0566594E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7822095E-002,-4.8822649E-004, 1.3298526E-004, 1.4503354E-004
 2.1841451E+002, 1.9166076E+000,-5.3657785E-001,-1.3389955E+000,-1.5197137E-002, 4.3075011E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.8322163E-002, 6.8912070E-002, 1.3262442E-004, 1.4464326E-004
 2.1961992E+002, 1.9117802E+000,-5.3489151E-001,-1.5405047E+000,-3.5750188E-002, 4.3578137E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3236267E-001,-1.5578803E-001, 1.3257058E-004, 1.4455991E-004
 2.2081059E+002, 1.9022478E+000,-5.2846886E-001,-1.2584208E+000,-4.2522136E-002, 4.6551629E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.6685971E-001, 1.1938759E-001, 1.3258742E-004, 1.4454747E-004
 2.2201062E+002, 1.9139820E+000,-5.5738904E-001,-1.5603200E+000,-4.0311530E-002, 4.1856762E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6827271E-001,-2.0218184E-001, 1.3246748E-004, 1.4439825E-004
 2.2322295E+002, 1.8987886E+000,-5.2143948E-001,-1.3160043E+000,-2.4413225E-002, 4.1864734E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0896091E-001, 7.8796348E-002, 1.3209863E-004, 1.4400023E-004
 2.2440254E+002, 1.9078633E+000,-5.4749828E-001,-1.4526046E+000,-3.1648002E-002, 4.2015131E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9718966E-002,-8.1872431E-002, 1.3165208E-004, 1.4352490E-004
 2.2561736E+002, 1.8958343E+000,-5.2400889E-001,-1.4040252E+000,-1.8448489E-002, 4.3362843E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.9738163E-002,-7.2854216E-003, 1.3131877E-004, 1.4316307E-004
