 (s), (kW/m²), (MJ/kg), (m²/kg),(g/s), (g/s·m²)
Time,HRR,EHC,SEA,MLR ,Specific MLR
286,167.8540627,7.574148203,12.03841488,0.195907167,22.16144419
287,167.6380971,12.8455621,27.14811267,0.115364417,13.05027338
288,166.6928362,14.72109737,40.2347213,0.100098833,11.32339744
289,164.7776598,9.744743493,20.60619971,0.149479,16.90938914
290,164.6974544,15.14392402,27.19361925,0.09613925,10.87548077
291,166.6374655,12.95978635,23.10953163,0.113665083,12.8580411
292,166.7793117,7.493692855,11.60760214,0.196742667,22.25595777
293,164.0592844,8.311944881,15.49062968,0.174481917,19.73777338
294,160.8606379,10.39961024,15.75488229,0.136736667,15.46794872
295,160.7797816,13.22012345,16.96258131,0.107509833,12.16174585
296,157.1584464,13.86770611,23.95027057,0.100181,11.33269231
297,160.8899174,15.31442101,29.26291618,0.092871083,10.50577866
298,159.5407871,12.81677251,20.43911116,0.110038667,12.44781297
299,160.5981046,7.61718901,16.22895494,0.186379417,21.08364442
300,164.7852812,9.878975656,19.57325798,0.14745475,16.68040158
301,163.6753213,12.84213203,19.09493163,0.112667417,12.74518288
302,158.9848136,9.150493047,12.61778176,0.153590167,17.37445324
303,160.4013623,9.800942182,19.24346113,0.144674667,16.36591252
304,159.5803933,14.88449774,26.06142549,0.094775833,10.72124811
305,161.344941,14.17099389,22.99676305,0.1006485,11.38557692
306,164.6945554,8.794786012,17.249811,0.16554125,18.72638575
307,160.9437124,11.30448104,19.22863787,0.1258565,14.23716063
308,160.7182774,19.54536841,33.39606898,0.072689833,8.222831825
309,161.5413257,10.49989022,23.34817518,0.136003833,15.38504902
310,160.8072185,7.691117627,18.27912097,0.18482825,20.90817308
311,159.8276876,9.252464404,20.84730811,0.15270275,17.27406674
312,157.6848983,14.88747891,22.00619514,0.093631333,10.59177979
313,161.5684872,19.84016577,31.67710482,0.071988583,8.143504902
314,159.4141398,12.79896035,21.2404149,0.110104333,12.45524133
315,155.6370564,10.99447807,24.20480123,0.125138417,14.15592949
316,157.656589,9.701026624,17.57881777,0.143663583,16.25153658
317,158.2679391,10.95369894,19.62047453,0.1277275,14.44881222
318,152.9734758,11.95734046,18.72930521,0.1130925,12.79326923
319,153.3231668,8.621564743,14.8802845,0.15720775,17.78368213
320,156.2345717,10.87355472,23.57397514,0.127015833,14.36830694
321,157.0865175,12.08896073,25.6245803,0.114868833,12.99421192
322,157.6023975,10.41823354,23.73293448,0.133727583,15.12755468
323,151.6860058,11.05979499,22.76725503,0.121241333,13.71508296
324,156.4868172,9.684713299,24.21238375,0.142837833,16.15812594
325,156.261618,9.614733047,21.91924276,0.143670417,16.25230958
326,150.9047942,8.556308557,18.08617254,0.155908167,17.63667044
327,154.150947,9.485029109,18.8957143,0.143667917,16.25202677
328,149.5504446,13.03408906,29.62453529,0.101428333,11.47379336
329,151.0311261,12.94012989,29.82225594,0.103176333,11.67153092
330,155.9517661,11.27614207,21.76152433,0.122259333,13.83024133
331,154.7893428,8.86963009,22.01092349,0.15427225,17.45161199
332,154.172175,8.793482237,22.44516733,0.15498775,17.5325509
333,156.3949234,13.2461879,28.6673024,0.104372,11.80678733
334,158.592832,16.96426314,32.43888511,0.082642,9.348642534
335,158.371156,9.136643425,18.14812454,0.15322925,17.33362557
336,159.3130608,9.525594924,20.79473158,0.147846667,16.72473605
337,159.0831305,18.90969186,36.45415811,0.074369,8.412782805
338,156.0803769,14.91670575,32.15135631,0.092497,10.46346154
339,156.066122,13.26369671,31.19882732,0.104015083,11.76641214
340,156.3476429,14.50880041,35.4022339,0.095260333,10.77605581
341,156.1975696,8.937351296,21.36101144,0.154496167,17.47694193
342,155.3588149,8.369018176,17.81810673,0.164101917,18.56356523
343,150.8086275,13.09603774,26.18165187,0.101797833,11.51559201
344,149.7048926,12.06832364,22.43886739,0.10965825,12.40477941
345,150.4014201,10.49039707,21.06895852,0.126739583,14.33705694
346,151.737071,11.66244149,28.09810611,0.115015,13.01074661
347,152.4997124,16.8353474,42.34383708,0.080075417,9.058305053
348,148.1497131,14.89742112,29.49445565,0.08791075,9.944654977
349,151.4137137,9.21919467,20.63002509,0.145185917,16.42374623
350,151.9427207,9.983241902,19.21771629,0.134542833,15.21977753
351,151.1032975,8.901203371,18.35584589,0.150064333,16.97560332
352,153.3865074,8.909353125,23.59637041,0.1521925,17.21634615
353,154.0561323,11.7655557,38.2141033,0.115749417,13.09382541
354,149.5308092,11.79386407,41.76489931,0.112079667,12.67869532
