s, (kW/m²), (MJ/kg), (m²/kg), (g/s),(g/s·m²),g
Time,HRR,EHC,SEA,MLR,Specific MLR ,Mass
229,151.7631001,14.56248896,66.99581204,0.104215083,10.42150833,89.789154
230,151.5251316,12.93044799,59.99363999,0.11718475,11.718475,89.682695
231,151.2270479,13.39600447,56.00961504,0.112889667,11.28896667,89.558764
232,151.9710569,13.33706327,24.59479681,0.113946417,11.39464167,89.455886
233,151.9990981,12.96755587,51.85683142,0.117214917,11.72149167,89.329358
234,151.5802151,9.893285107,60.90500424,0.15321525,15.321525,89.214804
235,151.0728737,11.02092226,42.70898372,0.13707825,13.707825,89.036687
236,151.7106544,21.96945987,94.90367209,0.06905525,6.905525,88.953101
237,151.0926713,20.43484253,112.3428427,0.07393875,7.393875,88.880673
238,150.7865228,14.61992768,78.14388633,0.103137667,10.31376667,88.795355
239,150.190639,8.123539533,35.93887405,0.18488325,18.488325,88.661984
240,150.5103633,7.335423715,24.34363127,0.205182917,20.51829167,88.441241
241,151.4297795,8.571173511,33.39274002,0.176673333,17.66733333,88.26636
242,150.5331043,10.71086636,52.51689078,0.140542417,14.05424167,88.092558
243,148.748329,22.87221844,135.3937936,0.0650345,6.50345,87.9926
244,148.3753784,16.79461424,93.11032004,0.088347,8.8347,87.93767
245,147.7638417,10.22765269,55.22945451,0.144474833,14.44748333,87.80767
246,148.0180721,15.64002111,91.72943604,0.094640583,9.464058333,87.673282
247,149.2676472,19.25756683,77.77921447,0.077511167,7.751116667,87.611194
248,149.8275126,11.47019516,32.59824301,0.130623333,13.06233333,87.501549
249,149.2227951,12.31954046,41.79755799,0.121126917,12.11269167,87.36394
250,149.6752225,14.89377325,79.89778008,0.100495167,10.04951667,87.26273
251,149.4189535,12.58612867,42.57394391,0.118717167,11.87171667,87.154165
252,148.6777267,13.29516514,65.91155837,0.111828417,11.18284167,87.029291
253,147.8224268,10.01896696,56.66824362,0.147542583,14.75425833,86.921034
254,147.8283576,8.970530214,47.84467131,0.164793333,16.47933333,86.739623
255,149.0916263,12.50386672,64.05473867,0.119236417,11.92364167,86.607332
256,148.9440377,16.17005979,66.69209294,0.092111,9.2111,86.497195
257,148.7430825,14.23815916,49.09678846,0.104467917,10.44679167,86.412447
258,147.746837,11.93880068,18.20907625,0.1237535,12.37535,86.285875
259,147.6688666,12.20928553,36.90629873,0.120948,12.0948,86.170387
260,148.7082098,13.0760081,65.26610028,0.113726,11.3726,86.045757
261,148.0050917,14.46730307,69.70820303,0.102303167,10.23031667,85.942879
262,148.7247681,11.21726544,52.86036722,0.132585583,13.25855833,85.830523
263,148.0569957,8.640765446,55.02876425,0.171347083,17.13470833,85.676153
264,147.3435359,9.8262597,45.38526104,0.14994875,14.994875,85.502976
265,147.5344301,11.63920037,33.31113203,0.1267565,12.67565,85.378668
266,147.661914,15.01231836,44.69062102,0.0983605,9.83605,85.250028
267,147.3754423,15.11190387,62.1529962,0.09752275,9.752275,85.173647
268,146.580425,9.979162484,37.91328011,0.1468865,14.68865,85.043134
269,146.6975053,11.02832596,36.58680411,0.133018833,13.30188333,84.893789
270,147.0684168,11.01023714,49.45107912,0.13357425,13.357425,84.773802
271,147.6301616,7.784423348,47.61554513,0.189648167,18.96481667,84.615217
272,147.6786431,9.684099461,56.03730352,0.152496,15.2496,84.417449
273,146.3944076,18.83358625,109.5561423,0.0777305,7.77305,84.318743
274,146.1675057,11.48690421,37.28873348,0.127247083,12.72470833,84.231962
275,146.6020444,8.520736714,16.09041193,0.17205325,17.205325,84.064087
276,146.0005405,10.16072377,31.03344102,0.143691083,14.36910833,83.907166
277,146.4684351,17.54513977,67.3275016,0.083480917,8.348091667,83.785014
278,146.593887,16.27562619,43.54884395,0.090069583,9.006958333,83.723671
279,145.1727765,11.77465607,38.32339305,0.123292583,12.32925833,83.597898
280,145.0546804,15.30286192,107.8310669,0.09478925,9.478925,83.491073
281,145.3785817,16.32546991,98.55585956,0.089050167,8.905016667,83.403741
282,146.482577,14.17838599,83.82401548,0.103314,10.3314,83.307886
283,145.0085814,14.55271431,76.58390243,0.099643667,9.964366667,83.201004
284,144.9650403,15.69733725,61.16854216,0.092350083,9.235008333,83.108945
285,145.875407,12.21622827,21.52648118,0.119411167,11.94111667,83.007937
286,145.6464312,10.22297233,40.86707283,0.14246975,14.246975,82.871551
287,145.6272434,12.71484424,72.60244503,0.11453325,11.453325,82.734786
