 (s),(kW/m²), (MJ/kg),(m²/kg), (g/s),(g/s·m²)
Time,HRR ,EHC,SEA ,MLR,Specific MLR 
167,102.4337554,7.818712353,-2.054702972,0.11581375,13.10110294
168,97.00239199,8.170711051,-1.774682848,0.104948167,11.87196456
169,97.91980029,10.20243371,-2.613767091,0.084843583,9.597690422
170,100.9446855,11.55911324,-3.120960217,0.077198917,8.732909125
171,99.26215005,8.560142752,-2.3456847,0.102507333,11.59585219
172,101.053485,29.92271747,-8.47810037,0.029854,3.377149321
173,99.08055526,38.31489476,-8.408521386,0.022859833,2.585953997
174,101.5378971,9.362089486,-2.139591071,0.0958755,10.8456448
175,103.5669892,6.058696714,-1.74298538,0.151110417,17.09393854
176,100.7700558,6.766897017,-1.799986645,0.131641917,14.89161953
177,101.9160243,0,0,-0.005902333,-0.667684766
178,104.6612828,12.24339404,-1.548267175,0.07556775,8.548388009
179,106.5924774,8.812110436,-0.738515986,0.106929833,12.09613499
180,106.2170974,22.22537545,-4.233166631,0.042247167,4.779091252
181,108.3044052,11.60324649,-4.024752511,0.082512333,9.333974359
182,109.070644,7.178380329,-1.831705616,0.134317833,15.19432504
183,107.1735052,6.411867393,-2.069726341,0.147759417,16.71486614
184,106.8522315,8.444702262,-3.106215766,0.111854,12.65316742
185,110.8382102,9.045031106,-2.89773514,0.10832575,12.25404412
186,113.0422097,12.7059207,-2.296961813,0.078647833,8.896813725
187,109.9184086,17.48889676,-3.049867738,0.05555975,6.285039593
188,109.7747573,9.683011859,-2.326664739,0.100217667,11.33684012
189,110.0118507,7.564765042,-2.616032914,0.128557167,14.54266591
190,112.8576667,10.03283506,-3.160550947,0.099439667,11.24883107
191,111.0105949,16.09757498,-5.0742012,0.060961583,6.896106712
192,110.3413527,19.45695238,-5.639328613,0.050132083,5.671050151
193,108.4540827,9.84249951,-2.265148195,0.097407583,11.01895739
194,109.1490467,7.973870811,-1.584010375,0.121004917,13.68833899
195,110.5414601,8.985423378,-1.837764029,0.108752417,12.30230958
196,109.2676887,11.01447558,-2.236803531,0.087696083,9.920371418
197,108.2000651,17.4297334,-4.745199581,0.054876833,6.207786576
198,108.0709436,8.58186807,-2.966882028,0.111321583,12.59293929
199,109.583377,12.77212937,-4.329386604,0.075846167,8.579883107
200,109.8870585,17.48668888,-4.109504524,0.055550917,6.284040347
201,108.3437837,7.042734328,-0.757975715,0.1359925,15.38376697
202,109.4708536,8.743925949,-0.874072269,0.110673667,12.51964555
203,107.1153358,9.533153806,-1.755305111,0.099327,11.23608597
204,103.4754743,14.74361227,-4.404883743,0.062042,7.018325792
205,111.0630965,22.58027244,-8.119593612,0.043480333,4.918589744
206,112.113125,11.23001862,-2.106450406,0.08825275,9.98334276
207,111.5506614,9.777860726,-1.252427024,0.100851083,11.40849359
208,109.9012714,15.07082998,-3.05770807,0.064464083,7.292317119
209,109.1265989,12.6740243,-3.268040348,0.076114667,8.61025641
210,109.4280881,13.17441096,-5.244472435,0.073426,8.306108597
211,110.4600776,11.50529777,-4.429475455,0.084871083,9.600801282
212,110.9408493,6.320865894,-1.607257746,0.1551555,17.55152715
213,113.0973227,11.91651047,-3.291472726,0.08389875,9.490808824
214,112.5228298,23.00207695,-8.23166468,0.043244,4.891855204
215,111.5141844,17.40944908,-5.931400042,0.056623583,6.40538273
216,110.5656601,7.455883259,-2.106185361,0.131091167,14.8293175
217,109.7273665,5.59202803,-1.397156845,0.173459417,19.62210596
218,110.5668165,8.145422553,-2.442743066,0.119995083,13.57410445
219,113.7114934,22.54814823,-6.758933072,0.044580583,5.043052413
220,111.2436611,14.55815943,-6.237173294,0.067549333,7.6413273
221,108.1840557,7.959543013,-2.163754936,0.120151,13.59174208
222,109.2941324,10.64532711,-5.360871296,0.090759083,10.26686463
223,109.7037303,0,-38.61633876,0.008579583,0.970541101
224,107.1848331,0,-27.45919188,0.0063525,0.718608597
225,107.9351363,6.080484613,-1.463687902,0.1569195,17.75107466
226,107.1796903,5.92455994,-1.299369872,0.159922167,18.09074284
227,106.830843,9.961767095,-2.055536559,0.094800917,10.7240856
228,104.8175801,11.03250989,-2.945778075,0.083987,9.500791855
229,105.1295457,10.94996211,-2.952274774,0.084872,9.600904977
230,106.192324,15.16667595,-5.18691335,0.061894917,7.001687406
231,106.4286213,11.92074636,-5.935803747,0.078923667,8.928016591
232,104.9579231,6.850232588,-2.66290883,0.13544475,15.3218043
233,107.1387101,10.44608184,-4.168645262,0.090666167,10.2563537
234,104.1292781,19.23665545,-7.429342452,0.0478515,5.413065611
235,105.8442634,8.629722586,-2.273703738,0.108423333,12.26508296
236,104.4955842,11.47859593,-3.662186512,0.080475083,9.103516214
237,104.5746488,11.42401542,-3.735868042,0.08092075,9.153930995
238,105.3618391,6.150105701,-1.945931768,0.151444333,17.13171192
239,108.0742098,9.224684888,-2.748488504,0.103567333,11.71576169
240,105.0505986,0,0,-0.01775075,-2.008003394
241,105.1999898,45.10921948,-13.42568001,0.020615917,2.33211727
242,107.9575884,7.832773155,-3.172164089,0.12184,13.78280543
243,107.2923724,7.142186956,-2.464551242,0.1327975,15.02234163
244,105.8703239,7.079564612,-2.575589173,0.1321965,14.9543552
245,102.6864068,10.32794262,-4.385674322,0.087892417,9.942581071
246,101.5816036,19.60672295,-7.359543168,0.045799667,5.180957768
247,102.9420782,10.53002154,-3.215938382,0.086420333,9.776055807
248,101.5378015,9.875428604,-3.648937886,0.090891667,10.28186275
249,103.4762655,9.770166252,-3.553427638,0.093624833,10.59104449
250,100.8909115,7.611402974,-2.689648198,0.11717625,13.2552319
251,102.0040639,15.46032841,-4.698148656,0.0583245,6.597794118
252,104.0526086,18.56875737,-9.222477538,0.049536167,5.603638763
253,101.375006,11.33534096,-4.970064148,0.0790585,8.943269231
254,100.0522482,9.134808775,-2.753175781,0.09682325,10.95285633
255,102.8497469,15.52031618,-6.294754107,0.05858075,6.626781674
256,104.613442,10.85257078,-4.051157524,0.08521325,9.639507919
257,101.5976949,8.711287938,-2.699047383,0.103098833,11.66276395
258,102.0296948,9.127063524,-3.786301102,0.098820667,11.17880845
259,102.2367327,15.35863908,-4.122282903,0.058844583,6.656627074
260,101.2515867,19.74170056,-7.756882746,0.04533875,5.128817873
261,100.7197965,5.113724905,-1.623716607,0.174112417,19.69597474
262,100.189923,18.00758218,-5.918071845,0.049183667,5.563763198
